t, z, kf_a.x, kf_b.x
0.000000, 0.000000, 0.000000, 0.000000
1.000000, 0.000000, 0.000000, 0.000000
2.000000, 0.000000, 0.000000, 0.000000
3.000000, 0.000000, 0.000000, 0.000000
4.000000, 0.000000, 0.000000, 0.000000
5.000000, 0.000000, 0.000000, 0.000000
6.000000, 0.000000, 0.000000, 0.000000
7.000000, 0.000000, 0.000000, 0.000000
8.000000, 0.000000, 0.000000, 0.000000
9.000000, 0.000000, 0.000000, 0.000000
10.000000, 1.000000, 0.314911, 0.375746
11.000000, 0.000000, 0.254530, 0.289256
12.000000, 0.000000, 0.207489, 0.212725
13.000000, 0.000000, 0.170249, 0.147546
14.000000, 0.000000, 0.140348, 0.094311
15.000000, 0.000000, 0.116036, 0.052774
16.000000, 0.000000, 0.096048, 0.021985
17.000000, 0.000000, 0.079453, 0.000525
18.000000, 0.000000, 0.065557, -0.013247
19.000000, 0.000000, 0.053831, -0.020998
20.000000, 0.000000, 0.043874, -0.024277
21.000000, 0.000000, 0.035372, -0.024433
22.000000, 0.000000, 0.028081, -0.022578
23.000000, 0.000000, 0.021806, -0.019586
24.000000, 0.000000, 0.016392, -0.016104
25.000000, 0.000000, 0.011716, -0.012588
26.000000, 0.000000, 0.007677, -0.009331
27.000000, 0.000000, 0.004190, -0.006500
28.000000, 0.000000, 0.001189, -0.004168
29.000000, 0.000000, -0.001384, -0.002342
30.000000, 0.000000, -0.003578, -0.000986
31.000000, 0.000000, -0.005434, -0.000040
32.000000, 0.000000, -0.006987, 0.000569
33.000000, 0.000000, -0.008268, 0.000914
34.000000, 0.000000, -0.009305, 0.001061
35.000000, 0.000000, -0.010123, 0.001070
36.000000, 0.000000, -0.010745, 0.000991
37.000000, 0.000000, -0.011190, 0.000860
38.000000, 0.000000, -0.011478, 0.000708
39.000000, 0.000000, -0.011627, 0.000554
40.000000, 0.000000, -0.011652, 0.000411
41.000000, 0.000000, -0.011569, 0.000287
42.000000, 0.000000, -0.011393, 0.000184
43.000000, 0.000000, -0.011137, 0.000104
44.000000, 0.000000, -0.010812, 0.000044
45.000000, 0.000000, -0.010431, 0.000002
46.000000, 0.000000, -0.010005, -0.000025
47.000000, 0.000000, -0.009542, -0.000040
48.000000, 0.000000, -0.009051, -0.000046
49.000000, 0.000000, -0.008542, -0.000047
50.000000, 0.000000, -0.008020, -0.000043
51.000000, 0.000000, -0.007492, -0.000038
52.000000, 0.000000, -0.006964, -0.000031
53.000000, 0.000000, -0.006441, -0.000024
54.000000, 0.000000, -0.005926, -0.000018
55.000000, 0.000000, -0.005424, -0.000013
56.000000, 0.000000, -0.004938, -0.000008
57.000000, 0.000000, -0.004470, -0.000005
58.000000, 0.000000, -0.004022, -0.000002
59.000000, 0.000000, -0.003596, -0.000000
60.000000, 0.000000, -0.003192, 0.000001
61.000000, 0.000000, -0.002812, 0.000002
62.000000, 0.000000, -0.002456, 0.000002
63.000000, 0.000000, -0.002123, 0.000002
64.000000, 0.000000, -0.001815, 0.000002
65.000000, 0.000000, -0.001531, 0.000002
66.000000, 0.000000, -0.001270, 0.000001
67.000000, 0.000000, -0.001031, 0.000001
68.000000, 0.000000, -0.000815, 0.000001
69.000000, 0.000000, -0.000619, 0.000001
70.000000, 0.000000, -0.000443, 0.000000
71.000000, 0.000000, -0.000287, 0.000000
72.000000, 0.000000, -0.000148, 0.000000
73.000000, 0.000000, -0.000026, 0.000000
74.000000, 0.000000, 0.000080, -0.000000
75.000000, 0.000000, 0.000171, -0.000000
76.000000, 0.000000, 0.000248, -0.000000
77.000000, 0.000000, 0.000313, -0.000000
78.000000, 0.000000, 0.000367, -0.000000
79.000000, 0.000000, 0.000410, -0.000000
80.000000, 0.000000, 0.000444, -0.000000
81.000000, 0.000000, 0.000469, -0.000000
82.000000, 0.000000, 0.000486, -0.000000
83.000000, 0.000000, 0.000497, -0.000000
84.000000, 0.000000, 0.000501, -0.000000
85.000000, 0.000000, 0.000500, -0.000000
86.000000, 0.000000, 0.000495, -0.000000
87.000000, 0.000000, 0.000486, -0.000000
88.000000, 0.000000, 0.000473, 0.000000
89.000000, 0.000000, 0.000458, 0.000000
90.000000, 0.000000, 0.000440, 0.000000
91.000000, 0.000000, 0.000421, 0.000000
92.000000, 0.000000, 0.000400, 0.000000
93.000000, 0.000000, 0.000379, 0.000000
94.000000, 0.000000, 0.000356, 0.000000
95.000000, 0.000000, 0.000334, 0.000000
96.000000, 0.000000, 0.000311, 0.000000
97.000000, 0.000000, 0.000288, 0.000000
98.000000, 0.000000, 0.000266, 0.000000
99.000000, 0.000000, 0.000244, 0.000000
100.000000, 0.000000, 0.000222, 0.000000
101.000000, 0.000000, 0.000202, 0.000000
102.000000, 0.000000, 0.000182, -0.000000
103.000000, 0.000000, 0.000163, -0.000000
104.000000, 0.000000, 0.000145, -0.000000
105.000000, 0.000000, 0.000128, -0.000000
106.000000, 0.000000, 0.000113, -0.000000
107.000000, 0.000000, 0.000098, -0.000000
108.000000, 0.000000, 0.000084, -0.000000
109.000000, 0.000000, 0.000071, -0.000000
110.000000, 0.000000, 0.000060, -0.000000
111.000000, 0.000000, 0.000049, -0.000000
112.000000, 0.000000, 0.000039, -0.000000
113.000000, 0.000000, 0.000030, -0.000000
114.000000, 0.000000, 0.000022, -0.000000
115.000000, 0.000000, 0.000015, -0.000000
116.000000, 0.000000, 0.000009, 0.000000
117.000000, 0.000000, 0.000003, 0.000000
118.000000, 0.000000, -0.000002, 0.000000
119.000000, 0.000000, -0.000006, 0.000000
120.000000, 0.000000, -0.000009, 0.000000
121.000000, 0.000000, -0.000012, 0.000000
122.000000, 0.000000, -0.000015, 0.000000
123.000000, 0.000000, -0.000017, 0.000000
124.000000, 0.000000, -0.000019, 0.000000
125.000000, 0.000000, -0.000020, 0.000000
126.000000, 0.000000, -0.000021, 0.000000
127.000000, 0.000000, -0.000021, 0.000000
