t, x, z, xf, vf, P11, P12, P22
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.500000
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.600004, 0.200018, 0.400081
2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.583359, 0.250047, 0.250116
3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.571476, 0.214353, 0.142994
4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.533408, 0.166758, 0.083495
5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.487296, 0.128331, 0.051473
6.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.443039, 0.100172, 0.033557
7.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.403684, 0.079774, 0.022985
8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.369579, 0.064813, 0.016421
9.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.340218, 0.053630, 0.012162
10.000000, 1.000000, 1.000000, 0.314911, 0.045108, 0.314911, 0.045108, 0.009292
11.000000, 0.000000, 0.000000, 0.254530, 0.031248, 0.293008, 0.038495, 0.007296
12.000000, 0.000000, 0.000000, 0.207489, 0.021737, 0.273952, 0.033283, 0.005870
13.000000, 0.000000, 0.000000, 0.170249, 0.015063, 0.257286, 0.029117, 0.004829
14.000000, 0.000000, 0.000000, 0.140348, 0.010291, 0.242639, 0.025747, 0.004053
15.000000, 0.000000, 0.000000, 0.116036, 0.006828, 0.229709, 0.022994, 0.003467
16.000000, 0.000000, 0.000000, 0.096048, 0.004281, 0.218254, 0.020725, 0.003018
17.000000, 0.000000, 0.000000, 0.079453, 0.002391, 0.208075, 0.018842, 0.002669
18.000000, 0.000000, 0.000000, 0.065557, 0.000977, 0.199009, 0.017270, 0.002397
19.000000, 0.000000, 0.000000, 0.053831, -0.000084, 0.190920, 0.015953, 0.002183
20.000000, 0.000000, 0.000000, 0.043874, -0.000882, 0.183695, 0.014845, 0.002013
21.000000, 0.000000, 0.000000, 0.035372, -0.001480, 0.177241, 0.013911, 0.001877
22.000000, 0.000000, 0.000000, 0.028081, -0.001925, 0.171475, 0.013122, 0.001770
23.000000, 0.000000, 0.000000, 0.021806, -0.002250, 0.166329, 0.012456, 0.001683
24.000000, 0.000000, 0.000000, 0.016392, -0.002483, 0.161742, 0.011895, 0.001615
25.000000, 0.000000, 0.000000, 0.011716, -0.002642, 0.157662, 0.011422, 0.001560
26.000000, 0.000000, 0.000000, 0.007677, -0.002742, 0.154040, 0.011024, 0.001516
27.000000, 0.000000, 0.000000, 0.004190, -0.002795, 0.150836, 0.010691, 0.001481
28.000000, 0.000000, 0.000000, 0.001189, -0.002809, 0.148012, 0.010413, 0.001454
29.000000, 0.000000, 0.000000, -0.001384, -0.002793, 0.145531, 0.010183, 0.001433
30.000000, 0.000000, 0.000000, -0.003578, -0.002751, 0.143363, 0.009994, 0.001416
31.000000, 0.000000, 0.000000, -0.005434, -0.002689, 0.141477, 0.009839, 0.001404
32.000000, 0.000000, 0.000000, -0.006987, -0.002610, 0.139846, 0.009713, 0.001394
33.000000, 0.000000, 0.000000, -0.008268, -0.002518, 0.138444, 0.009612, 0.001387
34.000000, 0.000000, 0.000000, -0.009305, -0.002415, 0.137247, 0.009532, 0.001381
35.000000, 0.000000, 0.000000, -0.010123, -0.002304, 0.136232, 0.009470, 0.001377
36.000000, 0.000000, 0.000000, -0.010745, -0.002187, 0.135378, 0.009422, 0.001375
37.000000, 0.000000, 0.000000, -0.011190, -0.002065, 0.134665, 0.009386, 0.001373
38.000000, 0.000000, 0.000000, -0.011478, -0.001941, 0.134076, 0.009360, 0.001372
39.000000, 0.000000, 0.000000, -0.011627, -0.001816, 0.133593, 0.009341, 0.001371
40.000000, 0.000000, 0.000000, -0.011652, -0.001690, 0.133203, 0.009329, 0.001371
41.000000, 0.000000, 0.000000, -0.011569, -0.001566, 0.132890, 0.009321, 0.001370
42.000000, 0.000000, 0.000000, -0.011393, -0.001444, 0.132643, 0.009317, 0.001370
43.000000, 0.000000, 0.000000, -0.011137, -0.001324, 0.132450, 0.009315, 0.001370
44.000000, 0.000000, 0.000000, -0.010812, -0.001208, 0.132303, 0.009315, 0.001370
45.000000, 0.000000, 0.000000, -0.010431, -0.001096, 0.132191, 0.009316, 0.001370
46.000000, 0.000000, 0.000000, -0.010005, -0.000989, 0.132110, 0.009318, 0.001370
47.000000, 0.000000, 0.000000, -0.009542, -0.000886, 0.132051, 0.009321, 0.001370
48.000000, 0.000000, 0.000000, -0.009051, -0.000789, 0.132010, 0.009323, 0.001370
49.000000, 0.000000, 0.000000, -0.008542, -0.000697, 0.131983, 0.009325, 0.001370
50.000000, 0.000000, 0.000000, -0.008020, -0.000611, 0.131965, 0.009327, 0.001370
51.000000, 0.000000, 0.000000, -0.007492, -0.000531, 0.131955, 0.009329, 0.001369
52.000000, 0.000000, 0.000000, -0.006964, -0.000456, 0.131950, 0.009330, 0.001369
53.000000, 0.000000, 0.000000, -0.006441, -0.000386, 0.131947, 0.009331, 0.001369
54.000000, 0.000000, 0.000000, -0.005926, -0.000323, 0.131946, 0.009331, 0.001369
55.000000, 0.000000, 0.000000, -0.005424, -0.000264, 0.131946, 0.009331, 0.001368
56.000000, 0.000000, 0.000000, -0.004938, -0.000211, 0.131946, 0.009331, 0.001368
57.000000, 0.000000, 0.000000, -0.004470, -0.000163, 0.131946, 0.009331, 0.001368
58.000000, 0.000000, 0.000000, -0.004022, -0.000120, 0.131945, 0.009330, 0.001367
59.000000, 0.000000, 0.000000, -0.003596, -0.000081, 0.131943, 0.009330, 0.001367
60.000000, 0.000000, 0.000000, -0.003192, -0.000047, 0.131940, 0.009329, 0.001367
61.000000, 0.000000, 0.000000, -0.002812, -0.000017, 0.131936, 0.009328, 0.001367
62.000000, 0.000000, 0.000000, -0.002456, 0.000009, 0.131932, 0.009327, 0.001366
63.000000, 0.000000, 0.000000, -0.002123, 0.000032, 0.131927, 0.009326, 0.001366
64.000000, 0.000000, 0.000000, -0.001815, 0.000052, 0.131922, 0.009325, 0.001366
65.000000, 0.000000, 0.000000, -0.001531, 0.000068, 0.131917, 0.009324, 0.001366
66.000000, 0.000000, 0.000000, -0.001270, 0.000082, 0.131911, 0.009323, 0.001366
67.000000, 0.000000, 0.000000, -0.001031, 0.000093, 0.131906, 0.009322, 0.001366
68.000000, 0.000000, 0.000000, -0.000815, 0.000102, 0.131900, 0.009322, 0.001366
69.000000, 0.000000, 0.000000, -0.000619, 0.000108, 0.131895, 0.009321, 0.001365
70.000000, 0.000000, 0.000000, -0.000443, 0.000113, 0.131890, 0.009320, 0.001365
71.000000, 0.000000, 0.000000, -0.000287, 0.000116, 0.131885, 0.009320, 0.001365
72.000000, 0.000000, 0.000000, -0.000148, 0.000118, 0.131881, 0.009320, 0.001365
73.000000, 0.000000, 0.000000, -0.000026, 0.000118, 0.131877, 0.009319, 0.001365
74.000000, 0.000000, 0.000000, 0.000080, 0.000117, 0.131873, 0.009319, 0.001365
75.000000, 0.000000, 0.000000, 0.000171, 0.000115, 0.131870, 0.009318, 0.001365
76.000000, 0.000000, 0.000000, 0.000248, 0.000113, 0.131867, 0.009318, 0.001365
77.000000, 0.000000, 0.000000, 0.000313, 0.000109, 0.131864, 0.009318, 0.001365
78.000000, 0.000000, 0.000000, 0.000367, 0.000105, 0.131862, 0.009318, 0.001365
79.000000, 0.000000, 0.000000, 0.000410, 0.000101, 0.131860, 0.009318, 0.001365
80.000000, 0.000000, 0.000000, 0.000444, 0.000096, 0.131858, 0.009318, 0.001365
81.000000, 0.000000, 0.000000, 0.000469, 0.000091, 0.131857, 0.009318, 0.001365
82.000000, 0.000000, 0.000000, 0.000486, 0.000086, 0.131856, 0.009318, 0.001365
83.000000, 0.000000, 0.000000, 0.000497, 0.000081, 0.131855, 0.009318, 0.001365
84.000000, 0.000000, 0.000000, 0.000501, 0.000075, 0.131854, 0.009317, 0.001365
85.000000, 0.000000, 0.000000, 0.000500, 0.000070, 0.131853, 0.009317, 0.001365
86.000000, 0.000000, 0.000000, 0.000495, 0.000065, 0.131853, 0.009317, 0.001365
87.000000, 0.000000, 0.000000, 0.000486, 0.000059, 0.131852, 0.009317, 0.001365
88.000000, 0.000000, 0.000000, 0.000473, 0.000054, 0.131852, 0.009317, 0.001365
89.000000, 0.000000, 0.000000, 0.000458, 0.000049, 0.131852, 0.009317, 0.001365
90.000000, 0.000000, 0.000000, 0.000440, 0.000045, 0.131852, 0.009317, 0.001365
91.000000, 0.000000, 0.000000, 0.000421, 0.000040, 0.131851, 0.009317, 0.001365
92.000000, 0.000000, 0.000000, 0.000400, 0.000036, 0.131851, 0.009317, 0.001365
93.000000, 0.000000, 0.000000, 0.000379, 0.000032, 0.131851, 0.009317, 0.001365
94.000000, 0.000000, 0.000000, 0.000356, 0.000028, 0.131851, 0.009317, 0.001365
95.000000, 0.000000, 0.000000, 0.000334, 0.000024, 0.131851, 0.009317, 0.001365
96.000000, 0.000000, 0.000000, 0.000311, 0.000021, 0.131851, 0.009317, 0.001365
97.000000, 0.000000, 0.000000, 0.000288, 0.000018, 0.131851, 0.009317, 0.001365
98.000000, 0.000000, 0.000000, 0.000266, 0.000015, 0.131851, 0.009317, 0.001365
99.000000, 0.000000, 0.000000, 0.000244, 0.000012, 0.131851, 0.009317, 0.001365
100.000000, 0.000000, 0.000000, 0.000222, 0.000010, 0.131851, 0.009317, 0.001365
101.000000, 0.000000, 0.000000, 0.000202, 0.000008, 0.131851, 0.009317, 0.001365
102.000000, 0.000000, 0.000000, 0.000182, 0.000006, 0.131851, 0.009317, 0.001365
103.000000, 0.000000, 0.000000, 0.000163, 0.000004, 0.131851, 0.009317, 0.001365
104.000000, 0.000000, 0.000000, 0.000145, 0.000003, 0.131851, 0.009317, 0.001365
105.000000, 0.000000, 0.000000, 0.000128, 0.000001, 0.131851, 0.009317, 0.001365
106.000000, 0.000000, 0.000000, 0.000113, 0.000000, 0.131851, 0.009317, 0.001365
107.000000, 0.000000, 0.000000, 0.000098, -0.000001, 0.131851, 0.009317, 0.001365
108.000000, 0.000000, 0.000000, 0.000084, -0.000002, 0.131851, 0.009317, 0.001365
109.000000, 0.000000, 0.000000, 0.000071, -0.000003, 0.131851, 0.009317, 0.001365
110.000000, 0.000000, 0.000000, 0.000060, -0.000003, 0.131851, 0.009317, 0.001365
111.000000, 0.000000, 0.000000, 0.000049, -0.000004, 0.131851, 0.009317, 0.001365
112.000000, 0.000000, 0.000000, 0.000039, -0.000004, 0.131851, 0.009317, 0.001365
113.000000, 0.000000, 0.000000, 0.000030, -0.000005, 0.131851, 0.009317, 0.001365
114.000000, 0.000000, 0.000000, 0.000022, -0.000005, 0.131851, 0.009317, 0.001365
115.000000, 0.000000, 0.000000, 0.000015, -0.000005, 0.131851, 0.009317, 0.001365
116.000000, 0.000000, 0.000000, 0.000009, -0.000005, 0.131851, 0.009317, 0.001365
117.000000, 0.000000, 0.000000, 0.000003, -0.000005, 0.131851, 0.009317, 0.001365
118.000000, 0.000000, 0.000000, -0.000002, -0.000005, 0.131851, 0.009317, 0.001365
119.000000, 0.000000, 0.000000, -0.000006, -0.000005, 0.131851, 0.009317, 0.001365
120.000000, 0.000000, 0.000000, -0.000009, -0.000005, 0.131851, 0.009317, 0.001365
121.000000, 0.000000, 0.000000, -0.000012, -0.000005, 0.131851, 0.009317, 0.001365
122.000000, 0.000000, 0.000000, -0.000015, -0.000005, 0.131851, 0.009317, 0.001365
123.000000, 0.000000, 0.000000, -0.000017, -0.000004, 0.131851, 0.009317, 0.001365
124.000000, 0.000000, 0.000000, -0.000019, -0.000004, 0.131851, 0.009317, 0.001365
125.000000, 0.000000, 0.000000, -0.000020, -0.000004, 0.131851, 0.009317, 0.001365
126.000000, 0.000000, 0.000000, -0.000021, -0.000004, 0.131851, 0.009317, 0.001365
127.000000, 0.000000, 0.000000, -0.000021, -0.000004, 0.131851, 0.009317, 0.001365
