t, x, z, xf, vf, P11, P12, P22
0.000000, -0.000000, -0.000000, -0.000000, 0.000000, 1.000000, 0.000000, 0.500000
1.029114, -0.000000, -0.000000, 0.000000, 0.000000, 0.604675, 0.203439, 0.395414
2.025499, -0.000000, -0.000000, 0.000000, 0.000000, 0.583796, 0.248671, 0.246939
2.912959, -0.000000, -0.000000, 0.000000, 0.000000, 0.549482, 0.210777, 0.148405
4.032272, -0.000000, -0.000000, 0.000000, 0.000000, 0.546959, 0.170778, 0.084154
4.913566, -0.000000, -0.000000, 0.000000, 0.000000, 0.477355, 0.128036, 0.052866
6.009876, -0.000000, -0.000000, 0.000000, 0.000000, 0.451052, 0.102137, 0.033983
6.993264, -0.000000, -0.000000, 0.000000, 0.000000, 0.406464, 0.080485, 0.023165
8.087805, -0.000000, -0.000000, 0.000000, 0.000000, 0.379052, 0.065762, 0.016321
8.948990, -0.000000, -0.000000, 0.000000, 0.000000, 0.335299, 0.053076, 0.012157
10.058553, 0.029276, 0.029276, 0.009334, 0.001329, 0.318841, 0.045388, 0.009256
10.984303, 0.492151, 0.492151, 0.150801, 0.019760, 0.291196, 0.038272, 0.007275
11.962983, 0.981491, 0.981491, 0.390600, 0.046610, 0.271720, 0.033092, 0.005867
12.991874, 1.495937, 1.495937, 0.710397, 0.077389, 0.257089, 0.029109, 0.004832
13.893794, 1.946897, 1.946897, 1.058689, 0.107148, 0.238701, 0.025507, 0.004059
15.073435, 2.536717, 2.536717, 1.500646, 0.138621, 0.233467, 0.023285, 0.003491
15.906594, 2.953297, 2.953297, 1.904301, 0.166127, 0.215503, 0.020571, 0.003021
17.001624, 3.500812, 3.500812, 2.381858, 0.192920, 0.208994, 0.018940, 0.002687
17.929510, 3.964755, 3.964755, 2.838468, 0.217106, 0.197738, 0.017227, 0.002403
18.978909, 4.489455, 4.489455, 3.338565, 0.239902, 0.191312, 0.016018, 0.002196
19.966398, 4.983199, 4.983199, 3.834134, 0.260854, 0.183748, 0.014884, 0.002022
21.014208, 5.507104, 5.507104, 4.357206, 0.280472, 0.178436, 0.014016, 0.001893
22.045267, 6.022634, 6.022634, 4.884658, 0.298705, 0.173129, 0.013249, 0.001787
23.015088, 6.507544, 6.507544, 5.397039, 0.315393, 0.167035, 0.012517, 0.001693
23.985452, 6.992726, 6.992726, 5.911668, 0.330750, 0.161737, 0.011908, 0.001618
25.010029, 7.505014, 7.505014, 6.448945, 0.345134, 0.158153, 0.011465, 0.001567
25.913882, 7.956941, 7.956941, 6.943494, 0.358226, 0.152669, 0.010946, 0.001507
26.958435, 8.479218, 8.479218, 7.492531, 0.370636, 0.150534, 0.010684, 0.001482
27.888396, 8.944198, 8.944198, 7.999430, 0.382069, 0.146543, 0.010329, 0.001443
29.038867, 9.519434, 9.519434, 8.597760, 0.393189, 0.146949, 0.010292, 0.001451
29.986755, 9.993378, 9.993378, 9.117430, 0.403447, 0.143678, 0.010028, 0.001424
30.975138, 10.487569, 10.487569, 9.653707, 0.413023, 0.141569, 0.009858, 0.001408
32.007384, 11.003692, 11.003692, 10.209808, 0.422047, 0.140487, 0.009770, 0.001404
32.975231, 11.487616, 11.487616, 10.738667, 0.430415, 0.138477, 0.009626, 0.001390
33.995826, 11.997913, 11.997913, 11.290801, 0.438263, 0.137634, 0.009571, 0.001388
34.985767, 12.492883, 12.492883, 11.829455, 0.445556, 0.136417, 0.009493, 0.001381
36.032146, 13.016073, 13.016073, 12.393875, 0.452397, 0.136313, 0.009497, 0.001387
37.066523, 13.533261, 13.533261, 12.953172, 0.458771, 0.136049, 0.009492, 0.001389
38.038674, 14.019337, 14.019337, 13.482783, 0.464613, 0.134828, 0.009420, 0.001381
38.977436, 14.488718, 14.488718, 13.994874, 0.469926, 0.133262, 0.009325, 0.001369
39.968855, 14.984428, 14.984428, 14.530303, 0.474799, 0.132789, 0.009306, 0.001367
40.985455, 15.492728, 15.492728, 15.076699, 0.479271, 0.132809, 0.009321, 0.001371
42.020555, 16.010277, 16.010277, 15.631043, 0.483365, 0.133151, 0.009358, 0.001377
43.084344, 16.542172, 16.542172, 16.198404, 0.487106, 0.133937, 0.009425, 0.001387
44.005552, 17.002776, 17.002776, 16.694188, 0.490420, 0.132318, 0.009321, 0.001372
44.865311, 17.432656, 17.432656, 17.157006, 0.493324, 0.129961, 0.009163, 0.001349
45.958387, 17.979194, 17.979194, 17.733503, 0.495953, 0.131674, 0.009294, 0.001369
47.058371, 18.529185, 18.529185, 18.312390, 0.498309, 0.133309, 0.009418, 0.001388
47.967244, 18.983622, 18.983622, 18.794031, 0.500341, 0.131638, 0.009307, 0.001371
49.023507, 19.511754, 19.511754, 19.347613, 0.502116, 0.132592, 0.009380, 0.001381
50.154377, 20.077188, 20.077188, 19.937222, 0.503658, 0.134659, 0.009531, 0.001404
51.084105, 20.542053, 20.542053, 20.423672, 0.504945, 0.133159, 0.009428, 0.001388
51.960201, 20.980100, 20.980100, 20.880994, 0.506004, 0.131008, 0.009279, 0.001366
53.036281, 21.518140, 21.518140, 21.437759, 0.506873, 0.132391, 0.009379, 0.001380
53.944820, 21.972410, 21.972410, 21.907976, 0.507560, 0.130881, 0.009274, 0.001364
55.027119, 22.513559, 22.513559, 22.464755, 0.508088, 0.132387, 0.009382, 0.001379
55.954774, 22.977387, 22.977387, 22.941504, 0.508472, 0.131189, 0.009297, 0.001366
56.932419, 23.466210, 23.466210, 23.442223, 0.508728, 0.130961, 0.009281, 0.001362
58.064035, 24.032018, 24.032018, 24.019788, 0.508861, 0.133261, 0.009443, 0.001387
58.969936, 24.484968, 24.484968, 24.481319, 0.508900, 0.131587, 0.009324, 0.001369
59.990686, 24.995343, 24.995343, 25.000061, 0.508850, 0.132002, 0.009353, 0.001373
61.040056, 25.520028, 25.520028, 25.532173, 0.508718, 0.132827, 0.009410, 0.001381
61.989815, 25.994907, 25.994907, 26.012638, 0.508527, 0.131920, 0.009344, 0.001370
63.113989, 26.556994, 26.556994, 26.580651, 0.508268, 0.133975, 0.009488, 0.001393
63.981031, 26.990515, 26.990515, 27.017285, 0.507981, 0.131559, 0.009317, 0.001368
64.954461, 27.477231, 27.477231, 27.507237, 0.507660, 0.131203, 0.009292, 0.001363
66.000550, 28.000275, 28.000275, 28.033273, 0.507304, 0.132068, 0.009352, 0.001372
67.078506, 28.539253, 28.539253, 28.574675, 0.506918, 0.133343, 0.009441, 0.001386
68.086017, 29.043008, 29.043008, 29.079750, 0.506518, 0.133298, 0.009437, 0.001384
68.993934, 29.496967, 29.496967, 29.534011, 0.506121, 0.131637, 0.009318, 0.001367
69.933249, 29.966624, 29.966624, 30.003824, 0.505725, 0.130713, 0.009252, 0.001356
71.051934, 30.525967, 30.525967, 30.563780, 0.505315, 0.132811, 0.009400, 0.001380
71.979105, 30.989552, 30.989552, 31.026671, 0.504917, 0.131527, 0.009309, 0.001366
73.043711, 31.521856, 31.521856, 31.558591, 0.504519, 0.132644, 0.009388, 0.001378
73.983628, 31.991814, 31.991814, 32.027404, 0.504138, 0.131589, 0.009313, 0.001366
74.950763, 32.475381, 32.475381, 32.509782, 0.503770, 0.131117, 0.009279, 0.001360
76.023045, 33.011522, 33.011522, 33.044876, 0.503410, 0.132407, 0.009370, 0.001374
77.047358, 33.523679, 33.523679, 33.555634, 0.503064, 0.132751, 0.009393, 0.001377
77.973955, 33.986978, 33.986978, 34.017198, 0.502740, 0.131462, 0.009302, 0.001364
79.073623, 34.536812, 34.536812, 34.565620, 0.502427, 0.133152, 0.009421, 0.001382
79.975795, 34.987897, 34.987897, 35.014822, 0.502139, 0.131411, 0.009298, 0.001364
80.984489, 35.492244, 35.492244, 35.517499, 0.501868, 0.131629, 0.009313, 0.001366
81.990356, 35.995178, 35.995178, 36.018736, 0.501615, 0.131773, 0.009323, 0.001367
82.956213, 36.478106, 36.478106, 36.499928, 0.501382, 0.131250, 0.009286, 0.001361
84.003069, 37.001534, 37.001534, 37.021729, 0.501165, 0.132105, 0.009345, 0.001370
85.028182, 37.514091, 37.514091, 37.532645, 0.500964, 0.132496, 0.009372, 0.001374
85.929197, 37.964599, 37.964599, 37.981480, 0.500784, 0.130826, 0.009254, 0.001357
87.002849, 38.501425, 38.501425, 38.516806, 0.500619, 0.132166, 0.009348, 0.001371
87.961425, 38.980713, 38.980713, 38.994587, 0.500470, 0.131469, 0.009299, 0.001363
88.938571, 39.469286, 39.469286, 39.481739, 0.500337, 0.131165, 0.009277, 0.001360
89.993722, 39.996861, 39.996861, 40.007977, 0.500217, 0.132162, 0.009348, 0.001370
91.007261, 40.503631, 40.503631, 40.513467, 0.500111, 0.132354, 0.009361, 0.001372
91.947006, 40.973503, 40.973503, 40.982138, 0.500019, 0.131325, 0.009288, 0.001361
93.038619, 41.519309, 41.519309, 41.526815, 0.499938, 0.132893, 0.009398, 0.001379
93.983076, 41.991538, 41.991538, 41.998003, 0.499868, 0.131865, 0.009326, 0.001368
95.017017, 42.508509, 42.508509, 42.513999, 0.499809, 0.132427, 0.009365, 0.001373
95.930612, 42.965306, 42.965306, 42.969926, 0.499760, 0.130966, 0.009262, 0.001358
96.987466, 43.493733, 43.493733, 43.497522, 0.499719, 0.132014, 0.009337, 0.001369
97.970793, 43.985397, 43.985397, 43.988447, 0.499686, 0.131736, 0.009317, 0.001366
98.988139, 44.494069, 44.494069, 44.496440, 0.499661, 0.132045, 0.009339, 0.001369
100.059493, 45.029747, 45.029747, 45.031486, 0.499642, 0.133194, 0.009420, 0.001382
100.991224, 45.495612, 45.495612, 45.496832, 0.499629, 0.131918, 0.009330, 0.001368
102.018925, 46.009463, 46.009463, 46.010190, 0.499621, 0.132371, 0.009361, 0.001373
102.999656, 46.499828, 46.499828, 46.500137, 0.499617, 0.132002, 0.009335, 0.001368
104.056725, 47.028363, 47.028363, 47.028280, 0.499618, 0.132922, 0.009400, 0.001378
104.986372, 47.493186, 47.493186, 47.492806, 0.499622, 0.131649, 0.009310, 0.001365
106.028678, 48.014339, 48.014339, 48.013668, 0.499630, 0.132373, 0.009361, 0.001373
107.074062, 48.537031, 48.537031, 48.536114, 0.499640, 0.133054, 0.009409, 0.001380
107.903579, 48.951790, 48.951790, 48.950731, 0.499651, 0.130151, 0.009205, 0.001351
109.026678, 49.513339, 49.513339, 49.512081, 0.499664, 0.132374, 0.009364, 0.001376
110.043864, 50.021932, 50.021932, 50.020545, 0.499679, 0.132603, 0.009382, 0.001378
111.046142, 50.523071, 50.523071, 50.521589, 0.499695, 0.132562, 0.009380, 0.001377
112.023091, 51.011545, 51.011545, 51.010001, 0.499712, 0.132116, 0.009349, 0.001372
112.976232, 51.488116, 51.488116, 51.486536, 0.499729, 0.131345, 0.009295, 0.001363
113.923489, 51.961744, 51.961744, 51.960147, 0.499746, 0.130584, 0.009241, 0.001355
115.055201, 52.527600, 52.527600, 52.525966, 0.499764, 0.132905, 0.009405, 0.001381
115.969976, 52.984988, 52.984988, 52.983381, 0.499781, 0.131405, 0.009300, 0.001365
117.031826, 53.515913, 53.515913, 53.514317, 0.499798, 0.132491, 0.009377, 0.001376
117.937636, 53.968818, 53.968818, 53.967272, 0.499815, 0.130906, 0.009265, 0.001360
119.044947, 54.522473, 54.522473, 54.520955, 0.499831, 0.132795, 0.009399, 0.001380
119.942997, 54.971498, 54.971498, 54.970047, 0.499847, 0.131044, 0.009276, 0.001362
120.974247, 55.487124, 55.487124, 55.485726, 0.499862, 0.131683, 0.009322, 0.001368
122.052415, 56.026207, 56.026207, 56.024866, 0.499876, 0.133005, 0.009415, 0.001382
122.997229, 56.498614, 56.498614, 56.497349, 0.499890, 0.131982, 0.009343, 0.001371
124.064618, 57.032309, 57.032309, 57.031110, 0.499903, 0.133090, 0.009421, 0.001383
124.974906, 57.487453, 57.487453, 57.486335, 0.499915, 0.131495, 0.009308, 0.001366
125.923942, 57.961971, 57.961971, 57.960928, 0.499926, 0.130747, 0.009255, 0.001357
127.031561, 58.515780, 58.515780, 58.514805, 0.499936, 0.132660, 0.009390, 0.001378
