t, x, z, xf, vf, P11, P12, P22
0.000000, -0.000000, -1.389039, -1.389039, 0.000000, 1.000000, 0.000000, 0.500000
1.000000, -0.000000, -1.176312, -1.261402, 0.042549, 0.600004, 0.200018, 0.400081
2.000000, -0.000000, 1.048244, 0.103678, 0.609430, 0.583359, 0.250047, 0.250116
3.000000, -0.000000, 0.105596, 0.365929, 0.479208, 0.571476, 0.214353, 0.142994
4.000000, -0.000000, -0.077827, 0.352821, 0.325296, 0.533408, 0.166758, 0.083495
5.000000, -0.000000, 0.768267, 0.722047, 0.336865, 0.487296, 0.128331, 0.051473
6.000000, -0.000000, 0.951866, 1.011486, 0.326142, 0.443039, 0.100172, 0.033557
7.000000, -0.000000, -0.032895, 0.784370, 0.216810, 0.403684, 0.079774, 0.022985
8.000000, -0.000000, -0.110172, 0.590447, 0.144780, 0.369579, 0.064813, 0.016421
9.000000, -0.000000, 0.020577, 0.492090, 0.106453, 0.340218, 0.053630, 0.012162
10.000000, 0.000000, -1.420407, -0.037246, 0.015383, 0.314911, 0.045108, 0.009292
11.000000, 0.500000, -0.911825, -0.282629, -0.018876, 0.293008, 0.038495, 0.007296
12.000000, 1.000000, 0.614066, -0.050682, 0.011597, 0.273952, 0.033283, 0.005870
13.000000, 1.500000, 1.552941, 0.370521, 0.057952, 0.257286, 0.029117, 0.004829
14.000000, 2.000000, 3.411973, 1.152385, 0.134768, 0.242639, 0.025747, 0.004053
15.000000, 2.500000, 3.249868, 1.738007, 0.179898, 0.229709, 0.022994, 0.003467
16.000000, 3.000000, 0.806098, 1.675248, 0.156856, 0.218254, 0.020725, 0.003018
17.000000, 3.500000, 2.699856, 2.012662, 0.173206, 0.208075, 0.018842, 0.002669
18.000000, 4.000000, 3.316237, 2.410821, 0.192728, 0.199009, 0.017270, 0.002397
19.000000, 4.500000, 5.726113, 3.199708, 0.242542, 0.190920, 0.015953, 0.002183
20.000000, 5.000000, 3.964620, 3.538206, 0.250296, 0.183695, 0.014845, 0.002013
21.000000, 5.500000, 5.871754, 4.157740, 0.279275, 0.177241, 0.013911, 0.001877
22.000000, 6.000000, 6.016836, 4.707916, 0.300006, 0.171475, 0.013122, 0.001770
23.000000, 6.500000, 6.768528, 5.300762, 0.321937, 0.166329, 0.012456, 0.001683
24.000000, 7.000000, 8.477645, 6.084465, 0.355896, 0.161742, 0.011895, 0.001615
25.000000, 7.500000, 6.047404, 6.378407, 0.351408, 0.157662, 0.011422, 0.001560
26.000000, 8.000000, 9.052154, 7.087549, 0.377009, 0.154040, 0.011024, 0.001516
27.000000, 8.500000, 9.609213, 7.788050, 0.399938, 0.150836, 0.010691, 0.001481
28.000000, 9.000000, 9.190917, 8.336433, 0.410382, 0.148012, 0.010413, 0.001454
29.000000, 9.500000, 9.150871, 8.805618, 0.414496, 0.145531, 0.010183, 0.001433
30.000000, 10.000000, 10.559550, 9.412140, 0.427882, 0.143363, 0.009994, 0.001416
31.000000, 10.500000, 10.310766, 9.906622, 0.432514, 0.141477, 0.009839, 0.001404
32.000000, 11.000000, 11.044409, 10.437765, 0.439364, 0.139846, 0.009713, 0.001394
33.000000, 11.500000, 11.023138, 10.897343, 0.440767, 0.138444, 0.009612, 0.001387
34.000000, 12.000000, 12.275222, 11.466726, 0.449700, 0.137247, 0.009532, 0.001381
