t, x, z, xf, vf, P11, P12, P22
0.000000, -0.000000, 0.370924, 0.370924, 0.000000, 1.000000, 0.000000, 0.500000
0.914074, -0.000000, -0.402461, -0.082587, -0.146206, 0.586398, 0.189047, 0.413675
1.993707, -0.000000, -0.339099, -0.299265, -0.171530, 0.596256, 0.256671, 0.250619
3.072516, -0.000000, -0.645521, -0.579500, -0.206330, 0.590460, 0.215870, 0.136949
4.020345, -0.000000, -1.358651, -1.083728, -0.301375, 0.528908, 0.162864, 0.080734
5.042160, -0.000000, 0.299144, -0.569698, -0.088150, 0.486143, 0.126107, 0.049890
5.902033, -0.000000, -1.264375, -0.908680, -0.148276, 0.425260, 0.097153, 0.033541
7.000752, -0.000000, -1.620343, -1.293566, -0.192088, 0.404505, 0.079839, 0.022958
7.997412, -0.000000, -0.666990, -1.182611, -0.139098, 0.369674, 0.064779, 0.016400
8.966563, -0.000000, 0.371135, -0.746623, -0.048874, 0.338038, 0.053432, 0.012181
10.002514, -0.000000, -1.856078, -1.131772, -0.096756, 0.315933, 0.045222, 0.009299
11.017891, -0.000000, 0.014066, -0.863667, -0.048730, 0.294473, 0.038603, 0.007290
12.108244, -0.000000, -0.416400, -0.777085, -0.031916, 0.279205, 0.033601, 0.005842
13.070688, -0.000000, 0.395398, -0.496313, 0.003100, 0.258884, 0.029102, 0.004792
13.985089, -0.000000, 1.018996, -0.130186, 0.041623, 0.240197, 0.025470, 0.004022
14.979814, -0.000000, -0.145430, -0.101683, 0.040332, 0.227724, 0.022798, 0.003448
15.948490, -0.000000, -0.644569, -0.188187, 0.028383, 0.215778, 0.020533, 0.003004
16.986299, 0.108247, 2.396872, 0.371287, 0.076403, 0.207394, 0.018790, 0.002666
18.031236, 0.238933, -1.181517, 0.125008, 0.048138, 0.199747, 0.017312, 0.002401
18.995843, 0.388139, 0.232789, 0.183132, 0.049115, 0.190546, 0.015924, 0.002181
20.104988, 0.609430, -1.059093, -0.003656, 0.029683, 0.186060, 0.014986, 0.002028
20.989590, 0.834130, 0.722007, 0.145974, 0.039369, 0.176395, 0.013848, 0.001873
21.964782, 1.139969, 0.387321, 0.218922, 0.042016, 0.170268, 0.013044, 0.001763
23.021261, 1.547448, 1.267756, 0.430600, 0.054545, 0.166548, 0.012474, 0.001688
23.972575, 1.986317, 1.715914, 0.681014, 0.069161, 0.160954, 0.011850, 0.001611
25.009610, 2.543974, 2.271589, 0.992331, 0.086528, 0.157747, 0.011435, 0.001564
25.971423, 3.133687, 4.244010, 1.561632, 0.121354, 0.153411, 0.010991, 0.001513
26.936104, 3.791304, 3.270906, 1.917044, 0.138272, 0.149694, 0.010626, 0.001474
28.043444, 4.619623, 5.317718, 2.554005, 0.172336, 0.148988, 0.010489, 0.001467
29.049911, 5.430165, 7.435948, 3.417136, 0.220628, 0.146476, 0.010256, 0.001445
30.029655, 6.260232, 5.847306, 3.951722, 0.242843, 0.143824, 0.010034, 0.001424
30.997304, 7.107433, 7.951985, 4.718869, 0.279883, 0.141334, 0.009837, 0.001404
31.993303, 7.994022, 7.749945, 5.382054, 0.306606, 0.139672, 0.009709, 0.001394
32.986329, 8.878079, 10.385588, 6.335905, 0.351730, 0.138194, 0.009603, 0.001386
34.010127, 9.774103, 9.627818, 7.098947, 0.379737, 0.137438, 0.009553, 0.001385
35.012754, 10.621679, 9.706179, 7.783488, 0.400871, 0.136450, 0.009492, 0.001381
35.952736, 11.377397, 12.722215, 8.774331, 0.443632, 0.134599, 0.009373, 0.001368
37.066003, 12.210200, 14.236336, 9.943119, 0.490707, 0.135848, 0.009476, 0.001388
37.979258, 12.834256, 11.684799, 10.564202, 0.502789, 0.133696, 0.009340, 0.001370
38.919217, 13.414743, 13.231368, 11.327163, 0.523105, 0.132309, 0.009258, 0.001360
39.965815, 13.982863, 13.946050, 12.149837, 0.542394, 0.132853, 0.009312, 0.001370
41.080466, 14.495394, 14.237692, 12.953862, 0.556397, 0.134463, 0.009441, 0.001391
41.994717, 14.845910, 15.668490, 13.755114, 0.576967, 0.132626, 0.009325, 0.001374
42.930409, 15.143171, 15.785535, 14.490861, 0.590758, 0.131416, 0.009252, 0.001363
43.999473, 15.414096, 15.170302, 15.128765, 0.591205, 0.132538, 0.009343, 0.001377
44.974580, 15.606717, 14.361524, 15.527865, 0.578688, 0.132013, 0.009315, 0.001372
45.993995, 15.764542, 15.980861, 16.099674, 0.577409, 0.132289, 0.009342, 0.001375
47.031498, 15.893791, 14.895825, 16.459247, 0.560485, 0.132835, 0.009387, 0.001381
48.132590, 16.014233, 18.959472, 17.329409, 0.578375, 0.134363, 0.009500, 0.001398
48.996116, 16.109373, 15.556418, 17.529311, 0.557186, 0.131814, 0.009324, 0.001373
50.000387, 16.234686, 15.407232, 17.735146, 0.532153, 0.131908, 0.009335, 0.001373
50.965720, 16.382938, 16.285529, 17.990937, 0.513895, 0.131366, 0.009299, 0.001367
52.042391, 16.595260, 15.807991, 18.181124, 0.488187, 0.132704, 0.009396, 0.001381
52.996083, 16.835957, 19.377473, 18.743070, 0.495010, 0.131870, 0.009338, 0.001371
53.978050, 17.144582, 17.919717, 19.056821, 0.482807, 0.131609, 0.009319, 0.001368
55.011881, 17.543465, 17.640160, 19.302650, 0.464871, 0.132222, 0.009362, 0.001374
56.031317, 18.015696, 18.278653, 19.578053, 0.450817, 0.132521, 0.009382, 0.001376
56.970667, 18.521548, 17.956382, 19.732636, 0.431781, 0.131478, 0.009308, 0.001365
58.080266, 19.204665, 21.381389, 20.367698, 0.442821, 0.133337, 0.009438, 0.001385
59.046195, 19.870305, 21.549839, 20.895474, 0.449902, 0.132611, 0.009386, 0.001377
60.065990, 20.637224, 19.780969, 21.145255, 0.435108, 0.132858, 0.009403, 0.001379
60.979024, 21.371532, 20.000881, 21.340049, 0.420780, 0.131337, 0.009294, 0.001363
61.952441, 22.193633, 21.069713, 21.660574, 0.414477, 0.130998, 0.009270, 0.001359
62.970433, 23.083655, 22.091408, 22.083678, 0.414560, 0.131421, 0.009299, 0.001363
63.952846, 23.957906, 23.894684, 22.675135, 0.427590, 0.131212, 0.009283, 0.001360
65.004888, 24.894507, 23.572163, 23.184076, 0.431771, 0.132155, 0.009348, 0.001370
65.950859, 25.722932, 25.277048, 23.813624, 0.447410, 0.131256, 0.009284, 0.001360
66.931006, 26.554014, 27.072414, 24.621685, 0.473545, 0.131028, 0.009267, 0.001358
68.041470, 27.446417, 27.341209, 25.439164, 0.494169, 0.132939, 0.009401, 0.001379
69.029487, 28.184088, 28.691485, 26.293960, 0.520091, 0.132612, 0.009378, 0.001375
69.963025, 28.823667, 27.918762, 26.929239, 0.530681, 0.131446, 0.009296, 0.001363
71.017244, 29.471502, 29.453992, 27.748879, 0.549082, 0.132390, 0.009362, 0.001373
71.996539, 29.998269, 27.649356, 28.202480, 0.543133, 0.131995, 0.009334, 0.001368
72.974491, 30.450746, 29.648176, 28.854020, 0.551646, 0.131631, 0.009308, 0.001364
74.069303, 30.871825, 31.120432, 29.679427, 0.567307, 0.133211, 0.009420, 0.001382
74.959822, 31.151564, 30.895545, 30.277944, 0.573906, 0.131266, 0.009283, 0.001362
76.006708, 31.415704, 31.369206, 30.943554, 0.578489, 0.132114, 0.009344, 0.001371
77.018791, 31.614393, 33.202775, 31.750451, 0.594149, 0.132290, 0.009357, 0.001372
78.042552, 31.771178, 31.853270, 32.291680, 0.589408, 0.132632, 0.009381, 0.001376
78.868253, 31.874914, 32.115450, 32.692354, 0.583325, 0.129733, 0.009177, 0.001347
79.998336, 31.999821, 33.523249, 33.374243, 0.584930, 0.132122, 0.009348, 0.001374
81.040796, 32.114517, 30.984882, 33.585727, 0.556743, 0.132799, 0.009398, 0.001381
82.062348, 32.243245, 32.727439, 33.964601, 0.543304, 0.133050, 0.009417, 0.001383
82.939557, 32.378451, 32.351057, 34.167538, 0.523933, 0.130927, 0.009268, 0.001361
83.992027, 32.584016, 32.855988, 34.473191, 0.506534, 0.131924, 0.009339, 0.001371
84.964878, 32.827202, 32.759647, 34.675831, 0.485993, 0.131505, 0.009310, 0.001366
85.993278, 33.149892, 32.675869, 34.845558, 0.462627, 0.132040, 0.009348, 0.001371
87.085252, 33.574799, 34.079672, 35.180993, 0.450611, 0.133543, 0.009453, 0.001388
87.941278, 33.970772, 34.385003, 35.411914, 0.439652, 0.131007, 0.009274, 0.001362
89.044006, 34.563877, 34.268038, 35.680419, 0.424337, 0.132813, 0.009403, 0.001381
89.967852, 35.131373, 35.294011, 35.970093, 0.417091, 0.131480, 0.009309, 0.001367
91.012497, 35.846041, 36.778532, 36.455111, 0.420582, 0.132284, 0.009366, 0.001375
91.977728, 36.568479, 39.089156, 37.154496, 0.441357, 0.131695, 0.009324, 0.001368
93.017962, 37.403712, 37.137192, 37.550534, 0.436892, 0.132399, 0.009373, 0.001375
93.983029, 38.219994, 39.480364, 38.170926, 0.450962, 0.131788, 0.009329, 0.001368
94.963051, 39.077124, 41.526450, 38.996015, 0.478080, 0.131500, 0.009308, 0.001364
95.972244, 39.975222, 39.441660, 39.473639, 0.477737, 0.131720, 0.009322, 0.001366
96.965996, 40.860073, 40.144702, 39.974237, 0.479566, 0.131658, 0.009316, 0.001365
97.963493, 41.733849, 41.675018, 40.613548, 0.490952, 0.131662, 0.009314, 0.001364
98.986850, 42.600268, 41.034355, 41.105188, 0.490189, 0.132082, 0.009342, 0.001369
99.999794, 43.414053, 42.980132, 41.784051, 0.503084, 0.132275, 0.009355, 0.001370
100.965771, 44.138319, 44.206156, 42.524969, 0.521112, 0.131680, 0.009311, 0.001364
101.996961, 44.845783, 42.115541, 42.937152, 0.512261, 0.132217, 0.009348, 0.001369
102.952241, 45.433946, 44.876117, 43.617060, 0.525733, 0.131453, 0.009293, 0.001361
103.989765, 45.994878, 45.986882, 44.403553, 0.542772, 0.132119, 0.009340, 0.001368
105.050672, 46.482927, 48.585957, 45.459343, 0.576700, 0.133079, 0.009407, 0.001379
105.973436, 46.838444, 44.221486, 45.758447, 0.560225, 0.131667, 0.009307, 0.001364
