t, x, z, xf, vf, P11, P12, P22
0.000000, -0.000000, -0.977187, -0.977187, 0.000000, 1.000000, 0.000000, 0.500000
1.000000, -0.000000, -0.244836, -0.537773, 0.146483, 0.600004, 0.200018, 0.400081
2.000000, -0.000000, 1.265446, 0.575182, 0.560745, 0.583359, 0.250047, 0.250116
3.000000, -0.000000, 0.128765, 0.560358, 0.344857, 0.571476, 0.214353, 0.142994
4.000000, -0.000000, 0.163522, 0.509590, 0.221174, 0.533408, 0.166758, 0.083495
5.000000, -0.000000, 1.177826, 0.948615, 0.278546, 0.487296, 0.128331, 0.051473
6.000000, -0.000000, 0.797695, 1.036891, 0.235525, 0.443039, 0.100172, 0.033557
7.000000, -0.000000, 0.844318, 1.099600, 0.201374, 0.403684, 0.079774, 0.022985
8.000000, -0.000000, -0.545378, 0.618600, 0.081707, 0.369579, 0.064813, 0.016421
9.000000, -0.000000, 0.886184, 0.763546, 0.091675, 0.340218, 0.053630, 0.012162
10.000000, -0.000000, 0.077365, 0.610265, 0.056588, 0.314911, 0.045108, 0.009292
11.000000, -0.000000, 1.408938, 0.884290, 0.085155, 0.293008, 0.038495, 0.007296
12.000000, -0.000000, -2.097152, 0.129344, -0.016911, 0.273952, 0.033283, 0.005870
13.000000, -0.000000, 0.412510, 0.189639, -0.008173, 0.257286, 0.029117, 0.004829
14.000000, -0.000000, -0.126189, 0.106817, -0.016095, 0.242639, 0.025747, 0.004053
15.000000, -0.000000, -0.518942, -0.049323, -0.030113, 0.229709, 0.022994, 0.003467
16.000000, 0.000000, 0.062580, -0.048441, -0.027170, 0.218254, 0.020725, 0.003018
17.000000, 0.109819, -0.896056, -0.246325, -0.042628, 0.208075, 0.018842, 0.002669
18.000000, 0.234633, -0.568347, -0.344555, -0.047454, 0.199009, 0.017270, 0.002397
19.000000, 0.388860, 2.267764, 0.115795, -0.005022, 0.190920, 0.015953, 0.002183
20.000000, 0.585786, -0.461892, 0.005576, -0.013524, 0.183695, 0.014845, 0.002013
21.000000, 0.837061, 0.765887, 0.129208, -0.002759, 0.177241, 0.013911, 0.001877
22.000000, 1.152241, -0.647345, -0.006238, -0.012913, 0.171475, 0.013122, 0.001770
23.000000, 1.538429, 2.174534, 0.345723, 0.014413, 0.166329, 0.012456, 0.001683
24.000000, 2.000000, 2.005772, 0.626305, 0.033987, 0.161742, 0.011895, 0.001615
25.000000, 2.538429, 1.707208, 0.825351, 0.045945, 0.157662, 0.011422, 0.001560
26.000000, 3.152241, 4.036518, 1.358868, 0.080838, 0.154040, 0.011024, 0.001516
27.000000, 3.837061, 3.711746, 1.782412, 0.105128, 0.150836, 0.010691, 0.001481
28.000000, 4.585786, 5.539125, 2.428018, 0.143154, 0.148012, 0.010413, 0.001454
29.000000, 5.388860, 5.186134, 2.951730, 0.169783, 0.145531, 0.010183, 0.001433
30.000000, 6.234633, 6.714711, 3.636644, 0.205692, 0.143363, 0.009994, 0.001416
31.000000, 7.109819, 5.317489, 4.051037, 0.220205, 0.141477, 0.009839, 0.001404
32.000000, 8.000000, 9.823263, 5.047671, 0.274131, 0.139846, 0.009713, 0.001394
33.000000, 8.890181, 8.109830, 5.707789, 0.300930, 0.138444, 0.009612, 0.001387
34.000000, 9.765367, 9.873147, 6.539100, 0.337768, 0.137247, 0.009532, 0.001381
35.000000, 10.611140, 9.757131, 7.269250, 0.365044, 0.136232, 0.009470, 0.001377
36.000000, 11.414214, 10.556823, 8.029939, 0.392580, 0.135378, 0.009422, 0.001375
37.000000, 12.162939, 13.544488, 9.112269, 0.440656, 0.134665, 0.009386, 0.001373
38.000000, 12.847759, 13.018413, 10.017563, 0.473093, 0.134076, 0.009360, 0.001372
39.000000, 13.461571, 11.399921, 10.612128, 0.481587, 0.133593, 0.009341, 0.001371
40.000000, 14.000000, 14.017106, 11.483118, 0.508859, 0.133203, 0.009329, 0.001371
41.000000, 14.461571, 13.082341, 12.136875, 0.519022, 0.132890, 0.009321, 0.001370
42.000000, 14.847759, 13.761022, 12.802484, 0.529318, 0.132643, 0.009317, 0.001370
43.000000, 15.162939, 16.716626, 13.780123, 0.560848, 0.132450, 0.009315, 0.001370
44.000000, 15.414214, 14.960316, 14.422912, 0.566617, 0.132303, 0.009315, 0.001370
45.000000, 15.611140, 15.065976, 14.999634, 0.567329, 0.132191, 0.009316, 0.001370
46.000000, 15.765367, 15.297815, 15.531407, 0.564821, 0.132110, 0.009318, 0.001370
47.000000, 15.890181, 16.287588, 16.121497, 0.566605, 0.132051, 0.009321, 0.001370
48.000000, 16.000000, 15.128182, 16.482177, 0.552062, 0.132010, 0.009323, 0.001370
49.000000, 16.109819, 16.629260, 16.980788, 0.548286, 0.131983, 0.009325, 0.001370
50.000000, 16.234633, 16.823453, 17.435956, 0.541704, 0.131965, 0.009327, 0.001370
51.000000, 16.388860, 17.120131, 17.864505, 0.533705, 0.131955, 0.009329, 0.001369
52.000000, 16.585786, 15.175731, 17.973005, 0.503639, 0.131950, 0.009330, 0.001369
53.000000, 16.837061, 16.483996, 18.213720, 0.485047, 0.131947, 0.009331, 0.001369
54.000000, 17.152241, 15.835298, 18.320943, 0.458327, 0.131946, 0.009331, 0.001369
