t, x, z, xf, vf, P11, P12, P22
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 0.000000, 0.500000
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.600004, 0.200018, 0.400081
2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.583359, 0.250047, 0.250116
3.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.571476, 0.214353, 0.142994
4.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.533408, 0.166758, 0.083495
5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.487296, 0.128331, 0.051473
6.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.443039, 0.100172, 0.033557
7.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.403684, 0.079774, 0.022985
8.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.369579, 0.064813, 0.016421
9.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.340218, 0.053630, 0.012162
10.000000, 1.000000, 1.000000, 0.314911, 0.045108, 0.314911, 0.045108, 0.009292
11.000000, 1.000000, 1.000000, 0.547538, 0.069744, 0.293008, 0.038495, 0.007296
12.000000, 1.000000, 1.000000, 0.722128, 0.082482, 0.273952, 0.033283, 0.005870
13.000000, 1.000000, 1.000000, 0.854881, 0.088171, 0.257286, 0.029117, 0.004829
14.000000, 1.000000, 1.000000, 0.956870, 0.089637, 0.242639, 0.025747, 0.004053
15.000000, 1.000000, 1.000000, 1.035824, 0.088568, 0.229709, 0.022994, 0.003467
16.000000, 1.000000, 1.000000, 1.097243, 0.085990, 0.218254, 0.020725, 0.003018
17.000000, 1.000000, 1.000000, 1.145107, 0.082537, 0.208075, 0.018842, 0.002669
18.000000, 1.000000, 1.000000, 1.182341, 0.078606, 0.199009, 0.017270, 0.002397
19.000000, 1.000000, 1.000000, 1.211127, 0.074443, 0.190920, 0.015953, 0.002183
20.000000, 1.000000, 1.000000, 1.233112, 0.070204, 0.183695, 0.014845, 0.002013
21.000000, 1.000000, 1.000000, 1.249556, 0.065985, 0.177241, 0.013911, 0.001877
22.000000, 1.000000, 1.000000, 1.261433, 0.061844, 0.171475, 0.013122, 0.001770
23.000000, 1.000000, 1.000000, 1.269507, 0.057817, 0.166329, 0.012456, 0.001683
24.000000, 1.000000, 1.000000, 1.274382, 0.053924, 0.161742, 0.011895, 0.001615
25.000000, 1.000000, 1.000000, 1.276544, 0.050174, 0.157662, 0.011422, 0.001560
26.000000, 1.000000, 1.000000, 1.276390, 0.046572, 0.154040, 0.011024, 0.001516
27.000000, 1.000000, 1.000000, 1.274248, 0.043119, 0.150836, 0.010691, 0.001481
28.000000, 1.000000, 1.000000, 1.270393, 0.039814, 0.148012, 0.010413, 0.001454
29.000000, 1.000000, 1.000000, 1.265063, 0.036656, 0.145531, 0.010183, 0.001433
30.000000, 1.000000, 1.000000, 1.258463, 0.033640, 0.143363, 0.009994, 0.001416
31.000000, 1.000000, 1.000000, 1.250777, 0.030766, 0.141477, 0.009839, 0.001404
32.000000, 1.000000, 1.000000, 1.242171, 0.028032, 0.139846, 0.009713, 0.001394
33.000000, 1.000000, 1.000000, 1.232795, 0.025435, 0.138444, 0.009612, 0.001387
34.000000, 1.000000, 1.000000, 1.222788, 0.022973, 0.137247, 0.009532, 0.001381
35.000000, 1.000000, 1.000000, 1.212281, 0.020646, 0.136232, 0.009470, 0.001377
36.000000, 1.000000, 1.000000, 1.201393, 0.018451, 0.135378, 0.009422, 0.001375
37.000000, 1.000000, 1.000000, 1.190239, 0.016387, 0.134665, 0.009386, 0.001373
38.000000, 1.000000, 1.000000, 1.178923, 0.014453, 0.134076, 0.009360, 0.001372
39.000000, 1.000000, 1.000000, 1.167543, 0.012647, 0.133593, 0.009341, 0.001371
40.000000, 1.000000, 1.000000, 1.156188, 0.010966, 0.133203, 0.009329, 0.001371
41.000000, 1.000000, 1.000000, 1.144941, 0.009408, 0.132890, 0.009321, 0.001370
42.000000, 1.000000, 1.000000, 1.133876, 0.007970, 0.132643, 0.009317, 0.001370
43.000000, 1.000000, 1.000000, 1.123058, 0.006649, 0.132450, 0.009315, 0.001370
44.000000, 1.000000, 1.000000, 1.112546, 0.005441, 0.132303, 0.009315, 0.001370
45.000000, 1.000000, 1.000000, 1.102390, 0.004341, 0.132191, 0.009316, 0.001370
46.000000, 1.000000, 1.000000, 1.092631, 0.003347, 0.132110, 0.009318, 0.001370
47.000000, 1.000000, 1.000000, 1.083304, 0.002452, 0.132051, 0.009321, 0.001370
48.000000, 1.000000, 1.000000, 1.074435, 0.001653, 0.132010, 0.009323, 0.001370
49.000000, 1.000000, 1.000000, 1.066046, 0.000943, 0.131983, 0.009325, 0.001370
50.000000, 1.000000, 1.000000, 1.058149, 0.000318, 0.131965, 0.009327, 0.001370
51.000000, 1.000000, 1.000000, 1.050752, -0.000227, 0.131955, 0.009329, 0.001369
52.000000, 1.000000, 1.000000, 1.043858, -0.000698, 0.131950, 0.009330, 0.001369
53.000000, 1.000000, 1.000000, 1.037465, -0.001101, 0.131947, 0.009331, 0.001369
54.000000, 1.000000, 1.000000, 1.031566, -0.001440, 0.131946, 0.009331, 0.001369
55.000000, 1.000000, 1.000000, 1.026150, -0.001722, 0.131946, 0.009331, 0.001368
56.000000, 1.000000, 1.000000, 1.021206, -0.001950, 0.131946, 0.009331, 0.001368
57.000000, 1.000000, 1.000000, 1.016715, -0.002129, 0.131946, 0.009331, 0.001368
58.000000, 1.000000, 1.000000, 1.012662, -0.002265, 0.131945, 0.009330, 0.001367
59.000000, 1.000000, 1.000000, 1.009025, -0.002362, 0.131943, 0.009330, 0.001367
60.000000, 1.000000, 1.000000, 1.005783, -0.002424, 0.131940, 0.009329, 0.001367
61.000000, 1.000000, 1.000000, 1.002916, -0.002456, 0.131936, 0.009328, 0.001367
62.000000, 1.000000, 1.000000, 1.000399, -0.002460, 0.131932, 0.009327, 0.001366
63.000000, 1.000000, 1.000000, 0.998211, -0.002441, 0.131927, 0.009326, 0.001366
64.000000, 1.000000, 1.000000, 0.996328, -0.002401, 0.131922, 0.009325, 0.001366
65.000000, 1.000000, 1.000000, 0.994728, -0.002345, 0.131917, 0.009324, 0.001366
66.000000, 1.000000, 1.000000, 0.993388, -0.002274, 0.131911, 0.009323, 0.001366
67.000000, 1.000000, 1.000000, 0.992286, -0.002191, 0.131906, 0.009322, 0.001366
68.000000, 1.000000, 1.000000, 0.991402, -0.002099, 0.131900, 0.009322, 0.001366
69.000000, 1.000000, 1.000000, 0.990714, -0.001999, 0.131895, 0.009321, 0.001365
70.000000, 1.000000, 1.000000, 0.990204, -0.001894, 0.131890, 0.009320, 0.001365
71.000000, 1.000000, 1.000000, 0.989852, -0.001785, 0.131885, 0.009320, 0.001365
72.000000, 1.000000, 1.000000, 0.989641, -0.001674, 0.131881, 0.009320, 0.001365
73.000000, 1.000000, 1.000000, 0.989554, -0.001561, 0.131877, 0.009319, 0.001365
74.000000, 1.000000, 1.000000, 0.989576, -0.001450, 0.131873, 0.009319, 0.001365
75.000000, 1.000000, 1.000000, 0.989692, -0.001339, 0.131870, 0.009318, 0.001365
76.000000, 1.000000, 1.000000, 0.989889, -0.001230, 0.131867, 0.009318, 0.001365
77.000000, 1.000000, 1.000000, 0.990154, -0.001125, 0.131864, 0.009318, 0.001365
78.000000, 1.000000, 1.000000, 0.990476, -0.001022, 0.131862, 0.009318, 0.001365
79.000000, 1.000000, 1.000000, 0.990844, -0.000924, 0.131860, 0.009318, 0.001365
80.000000, 1.000000, 1.000000, 0.991249, -0.000830, 0.131858, 0.009318, 0.001365
81.000000, 1.000000, 1.000000, 0.991682, -0.000741, 0.131857, 0.009318, 0.001365
82.000000, 1.000000, 1.000000, 0.992136, -0.000657, 0.131856, 0.009318, 0.001365
83.000000, 1.000000, 1.000000, 0.992603, -0.000577, 0.131855, 0.009318, 0.001365
84.000000, 1.000000, 1.000000, 0.993077, -0.000503, 0.131854, 0.009317, 0.001365
85.000000, 1.000000, 1.000000, 0.993553, -0.000434, 0.131853, 0.009317, 0.001365
86.000000, 1.000000, 1.000000, 0.994027, -0.000370, 0.131853, 0.009317, 0.001365
87.000000, 1.000000, 1.000000, 0.994494, -0.000310, 0.131852, 0.009317, 0.001365
88.000000, 1.000000, 1.000000, 0.994950, -0.000256, 0.131852, 0.009317, 0.001365
89.000000, 1.000000, 1.000000, 0.995393, -0.000207, 0.131852, 0.009317, 0.001365
90.000000, 1.000000, 1.000000, 0.995821, -0.000162, 0.131852, 0.009317, 0.001365
91.000000, 1.000000, 1.000000, 0.996232, -0.000122, 0.131851, 0.009317, 0.001365
92.000000, 1.000000, 1.000000, 0.996623, -0.000085, 0.131851, 0.009317, 0.001365
93.000000, 1.000000, 1.000000, 0.996994, -0.000053, 0.131851, 0.009317, 0.001365
94.000000, 1.000000, 1.000000, 0.997344, -0.000025, 0.131851, 0.009317, 0.001365
95.000000, 1.000000, 1.000000, 0.997673, 0.000000, 0.131851, 0.009317, 0.001365
96.000000, 1.000000, 1.000000, 0.997980, 0.000022, 0.131851, 0.009317, 0.001365
97.000000, 1.000000, 1.000000, 0.998266, 0.000041, 0.131851, 0.009317, 0.001365
98.000000, 1.000000, 1.000000, 0.998530, 0.000056, 0.131851, 0.009317, 0.001365
99.000000, 1.000000, 1.000000, 0.998773, 0.000070, 0.131851, 0.009317, 0.001365
100.000000, 1.000000, 1.000000, 0.998995, 0.000080, 0.131851, 0.009317, 0.001365
101.000000, 1.000000, 1.000000, 0.999197, 0.000089, 0.131851, 0.009317, 0.001365
102.000000, 1.000000, 1.000000, 0.999381, 0.000096, 0.131851, 0.009317, 0.001365
103.000000, 1.000000, 1.000000, 0.999545, 0.000101, 0.131851, 0.009317, 0.001365
104.000000, 1.000000, 1.000000, 0.999693, 0.000104, 0.131851, 0.009317, 0.001365
105.000000, 1.000000, 1.000000, 0.999823, 0.000106, 0.131851, 0.009317, 0.001365
106.000000, 1.000000, 1.000000, 0.999938, 0.000106, 0.131851, 0.009317, 0.001365
107.000000, 1.000000, 1.000000, 1.000039, 0.000106, 0.131851, 0.009317, 0.001365
108.000000, 1.000000, 1.000000, 1.000126, 0.000105, 0.131851, 0.009317, 0.001365
109.000000, 1.000000, 1.000000, 1.000200, 0.000103, 0.131851, 0.009317, 0.001365
110.000000, 1.000000, 1.000000, 1.000263, 0.000100, 0.131851, 0.009317, 0.001365
111.000000, 1.000000, 1.000000, 1.000315, 0.000096, 0.131851, 0.009317, 0.001365
112.000000, 1.000000, 1.000000, 1.000357, 0.000093, 0.131851, 0.009317, 0.001365
113.000000, 1.000000, 1.000000, 1.000390, 0.000088, 0.131851, 0.009317, 0.001365
114.000000, 1.000000, 1.000000, 1.000415, 0.000084, 0.131851, 0.009317, 0.001365
115.000000, 1.000000, 1.000000, 1.000433, 0.000079, 0.131851, 0.009317, 0.001365
116.000000, 1.000000, 1.000000, 1.000445, 0.000074, 0.131851, 0.009317, 0.001365
117.000000, 1.000000, 1.000000, 1.000451, 0.000070, 0.131851, 0.009317, 0.001365
118.000000, 1.000000, 1.000000, 1.000452, 0.000065, 0.131851, 0.009317, 0.001365
119.000000, 1.000000, 1.000000, 1.000449, 0.000060, 0.131851, 0.009317, 0.001365
120.000000, 1.000000, 1.000000, 1.000441, 0.000055, 0.131851, 0.009317, 0.001365
121.000000, 1.000000, 1.000000, 1.000431, 0.000051, 0.131851, 0.009317, 0.001365
122.000000, 1.000000, 1.000000, 1.000418, 0.000046, 0.131851, 0.009317, 0.001365
123.000000, 1.000000, 1.000000, 1.000403, 0.000042, 0.131851, 0.009317, 0.001365
124.000000, 1.000000, 1.000000, 1.000386, 0.000038, 0.131851, 0.009317, 0.001365
125.000000, 1.000000, 1.000000, 1.000368, 0.000034, 0.131851, 0.009317, 0.001365
126.000000, 1.000000, 1.000000, 1.000349, 0.000030, 0.131851, 0.009317, 0.001365
127.000000, 1.000000, 1.000000, 1.000329, 0.000026, 0.131851, 0.009317, 0.001365
