t, x, z, xf, vf, P11, P12, P22
0.000000, -0.000000, -0.000000, -0.000000, 0.000000, 1.000000, 0.000000, 0.500000
1.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.600004, 0.200018, 0.400081
2.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.583359, 0.250047, 0.250116
3.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.571476, 0.214353, 0.142994
4.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.533408, 0.166758, 0.083495
5.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.487296, 0.128331, 0.051473
6.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.443039, 0.100172, 0.033557
7.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.403684, 0.079774, 0.022985
8.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.369579, 0.064813, 0.016421
9.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.340218, 0.053630, 0.012162
10.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.314911, 0.045108, 0.009292
11.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.293008, 0.038495, 0.007296
12.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.273952, 0.033283, 0.005870
13.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.257286, 0.029117, 0.004829
14.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.242639, 0.025747, 0.004053
15.000000, -0.000000, -0.000000, 0.000000, 0.000000, 0.229709, 0.022994, 0.003467
16.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.218254, 0.020725, 0.003018
17.000000, 0.109819, 0.109819, 0.022851, 0.002069, 0.208075, 0.018842, 0.002669
18.000000, 0.234633, 0.234633, 0.066655, 0.005691, 0.199009, 0.017270, 0.002397
19.000000, 0.388860, 0.388860, 0.132774, 0.010740, 0.190920, 0.015953, 0.002183
20.000000, 0.585786, 0.585786, 0.224758, 0.017306, 0.183695, 0.014845, 0.002013
21.000000, 0.837061, 0.837061, 0.347522, 0.025583, 0.177241, 0.013911, 0.001877
22.000000, 1.152241, 1.152241, 0.506707, 0.035807, 0.171475, 0.013122, 0.001770
23.000000, 1.538429, 1.538429, 0.708163, 0.048212, 0.166329, 0.012456, 0.001683
24.000000, 2.000000, 2.000000, 0.957522, 0.063005, 0.161742, 0.011895, 0.001615
25.000000, 2.538429, 2.538429, 1.259842, 0.080342, 0.157662, 0.011422, 0.001560
26.000000, 3.152241, 3.152241, 1.619314, 0.100318, 0.154040, 0.011024, 0.001516
27.000000, 3.837061, 3.837061, 2.039017, 0.122955, 0.150836, 0.010691, 0.001481
28.000000, 4.585786, 4.585786, 2.520725, 0.148195, 0.148012, 0.010413, 0.001454
29.000000, 5.388860, 5.388860, 3.064757, 0.175893, 0.145531, 0.010183, 0.001433
30.000000, 6.234633, 6.234633, 3.669876, 0.205814, 0.143363, 0.009994, 0.001416
31.000000, 7.109819, 7.109819, 4.333246, 0.237633, 0.141477, 0.009839, 0.001404
32.000000, 8.000000, 8.000000, 5.050429, 0.270940, 0.139846, 0.009713, 0.001394
33.000000, 8.890181, 8.890181, 5.815450, 0.305244, 0.138444, 0.009612, 0.001387
34.000000, 9.765367, 9.765367, 6.620914, 0.339986, 0.137247, 0.009532, 0.001381
35.000000, 10.611140, 10.611140, 7.458178, 0.374554, 0.136232, 0.009470, 0.001377
36.000000, 11.414214, 11.414214, 8.317584, 0.408300, 0.135378, 0.009422, 0.001375
37.000000, 12.162939, 12.162939, 9.188735, 0.440561, 0.134665, 0.009386, 0.001373
38.000000, 12.847759, 12.847759, 10.060813, 0.470685, 0.134076, 0.009360, 0.001372
39.000000, 13.461571, 13.461571, 10.922937, 0.498056, 0.133593, 0.009341, 0.001371
40.000000, 14.000000, 14.000000, 11.764523, 0.522115, 0.133203, 0.009329, 0.001371
41.000000, 14.461571, 14.461571, 12.575665, 0.542388, 0.132890, 0.009321, 0.001370
42.000000, 14.847759, 14.847759, 13.347486, 0.558503, 0.132643, 0.009317, 0.001370
43.000000, 15.162939, 15.162939, 14.072472, 0.570212, 0.132450, 0.009315, 0.001370
44.000000, 15.414214, 15.414214, 14.744759, 0.577398, 0.132303, 0.009315, 0.001370
45.000000, 15.611140, 15.611140, 15.360358, 0.580091, 0.132191, 0.009316, 0.001370
46.000000, 15.765367, 15.765367, 15.917319, 0.578459, 0.132110, 0.009318, 0.001370
47.000000, 15.890181, 15.890181, 16.415808, 0.572815, 0.132051, 0.009321, 0.001370
48.000000, 16.000000, 16.000000, 16.858115, 0.563598, 0.132010, 0.009323, 0.001370
49.000000, 16.109819, 16.109819, 17.248565, 0.551364, 0.131983, 0.009325, 0.001370
50.000000, 16.234633, 16.234633, 17.593365, 0.536765, 0.131965, 0.009327, 0.001370
51.000000, 16.388860, 16.388860, 17.900360, 0.520521, 0.131955, 0.009329, 0.001369
52.000000, 16.585786, 16.585786, 18.178741, 0.503400, 0.131950, 0.009330, 0.001369
53.000000, 16.837061, 16.837061, 18.438688, 0.486184, 0.131947, 0.009331, 0.001369
54.000000, 17.152241, 17.152241, 18.690981, 0.469643, 0.131946, 0.009331, 0.001369
55.000000, 17.538429, 17.538429, 18.946582, 0.454506, 0.131946, 0.009331, 0.001368
56.000000, 18.000000, 18.000000, 19.216220, 0.441432, 0.131946, 0.009331, 0.001368
57.000000, 18.538429, 18.538429, 19.509975, 0.430989, 0.131946, 0.009331, 0.001368
58.000000, 19.152241, 19.152241, 19.836896, 0.423630, 0.131945, 0.009330, 0.001367
59.000000, 19.837061, 19.837061, 20.204653, 0.419679, 0.131943, 0.009330, 0.001367
60.000000, 20.585786, 20.585786, 20.619246, 0.419319, 0.131940, 0.009329, 0.001367
61.000000, 21.388860, 21.388860, 21.084782, 0.422587, 0.131936, 0.009328, 0.001367
62.000000, 22.234633, 22.234633, 21.603318, 0.429370, 0.131932, 0.009327, 0.001366
63.000000, 23.109819, 23.109819, 22.174791, 0.439415, 0.131927, 0.009326, 0.001366
64.000000, 24.000000, 24.000000, 22.797024, 0.452338, 0.131922, 0.009325, 0.001366
65.000000, 24.890181, 24.890181, 23.465813, 0.467637, 0.131917, 0.009324, 0.001366
66.000000, 25.765367, 25.765367, 24.175101, 0.484717, 0.131911, 0.009323, 0.001366
67.000000, 26.611140, 26.611140, 24.917208, 0.502908, 0.131906, 0.009322, 0.001366
68.000000, 27.414214, 27.414214, 25.683137, 0.521496, 0.131900, 0.009322, 0.001366
69.000000, 28.162939, 28.162939, 26.462924, 0.539750, 0.131895, 0.009321, 0.001365
70.000000, 28.847759, 28.847759, 27.246022, 0.556947, 0.131890, 0.009320, 0.001365
71.000000, 29.461571, 29.461571, 28.021713, 0.572405, 0.131885, 0.009320, 0.001365
72.000000, 30.000000, 30.000000, 28.779527, 0.585507, 0.131881, 0.009320, 0.001365
73.000000, 30.461571, 30.461571, 29.509641, 0.595726, 0.131877, 0.009319, 0.001365
74.000000, 30.847759, 30.847759, 30.203268, 0.602644, 0.131873, 0.009319, 0.001365
75.000000, 31.162939, 31.162939, 30.852993, 0.605971, 0.131870, 0.009318, 0.001365
76.000000, 31.414214, 31.414214, 31.453063, 0.605554, 0.131867, 0.009318, 0.001365
77.000000, 31.611140, 31.611140, 31.999611, 0.601384, 0.131864, 0.009318, 0.001365
78.000000, 31.765367, 31.765367, 32.490808, 0.593598, 0.131862, 0.009318, 0.001365
79.000000, 31.890181, 31.890181, 32.926935, 0.582470, 0.131860, 0.009318, 0.001365
80.000000, 32.000000, 32.000000, 33.310379, 0.568406, 0.131858, 0.009318, 0.001365
81.000000, 32.109819, 32.109819, 33.645535, 0.551924, 0.131857, 0.009318, 0.001365
82.000000, 32.234633, 32.234633, 33.938649, 0.533635, 0.131856, 0.009318, 0.001365
83.000000, 32.388860, 32.388860, 34.197575, 0.514223, 0.131855, 0.009318, 0.001365
84.000000, 32.585786, 32.585786, 34.431475, 0.494414, 0.131854, 0.009317, 0.001365
85.000000, 32.837061, 32.837061, 34.650470, 0.474951, 0.131853, 0.009317, 0.001365
86.000000, 33.152241, 33.152241, 34.865252, 0.456566, 0.131853, 0.009317, 0.001365
87.000000, 33.538429, 33.538429, 35.086675, 0.439949, 0.131852, 0.009317, 0.001365
88.000000, 34.000000, 34.000000, 35.325336, 0.425725, 0.131852, 0.009317, 0.001365
89.000000, 34.538429, 34.538429, 35.591173, 0.414427, 0.131852, 0.009317, 0.001365
90.000000, 35.152241, 35.152241, 35.893083, 0.406475, 0.131852, 0.009317, 0.001365
91.000000, 35.837061, 35.837061, 36.238578, 0.402166, 0.131851, 0.009317, 0.001365
92.000000, 36.585786, 36.585786, 36.633498, 0.401654, 0.131851, 0.009317, 0.001365
93.000000, 37.388860, 37.388860, 37.081788, 0.404950, 0.131851, 0.009317, 0.001365
94.000000, 38.234633, 38.234633, 37.585349, 0.411918, 0.131851, 0.009317, 0.001365
95.000000, 39.109819, 39.109819, 38.143959, 0.422284, 0.131851, 0.009317, 0.001365
96.000000, 40.000000, 40.000000, 38.755286, 0.435643, 0.131851, 0.009317, 0.001365
97.000000, 40.890181, 40.890181, 39.414977, 0.451476, 0.131851, 0.009317, 0.001365
98.000000, 41.765367, 41.765367, 40.116827, 0.469169, 0.131851, 0.009317, 0.001365
99.000000, 42.611140, 42.611140, 40.853014, 0.488038, 0.131851, 0.009317, 0.001365
100.000000, 43.414214, 43.414214, 41.614401, 0.507355, 0.131851, 0.009317, 0.001365
101.000000, 44.162939, 44.162939, 42.390889, 0.526374, 0.131851, 0.009317, 0.001365
102.000000, 44.847759, 44.847759, 43.171801, 0.544361, 0.131851, 0.009317, 0.001365
103.000000, 45.461571, 45.461571, 43.946296, 0.560624, 0.131851, 0.009317, 0.001365
104.000000, 46.000000, 46.000000, 44.703784, 0.574536, 0.131851, 0.009317, 0.001365
105.000000, 46.461571, 46.461571, 45.434333, 0.585561, 0.131851, 0.009317, 0.001365
106.000000, 46.847759, 46.847759, 46.129048, 0.593274, 0.131851, 0.009317, 0.001365
107.000000, 47.162939, 47.162939, 46.780418, 0.597380, 0.131851, 0.009317, 0.001365
108.000000, 47.414214, 47.414214, 47.382599, 0.597719, 0.131851, 0.009317, 0.001365
109.000000, 47.611140, 47.611140, 47.931642, 0.594279, 0.131851, 0.009317, 0.001365
110.000000, 47.765367, 47.765367, 48.425641, 0.587193, 0.131851, 0.009317, 0.001365
111.000000, 47.890181, 47.890181, 48.864811, 0.576732, 0.131851, 0.009317, 0.001365
112.000000, 48.000000, 48.000000, 49.251474, 0.563301, 0.131851, 0.009317, 0.001365
113.000000, 48.109819, 48.109819, 49.589975, 0.547415, 0.131851, 0.009317, 0.001365
114.000000, 48.234633, 48.234633, 49.886509, 0.529686, 0.131851, 0.009317, 0.001365
115.000000, 48.388860, 48.388860, 50.148889, 0.510797, 0.131851, 0.009317, 0.001365
116.000000, 48.585786, 48.585786, 50.386240, 0.491473, 0.131851, 0.009317, 0.001365
117.000000, 48.837061, 48.837061, 50.608651, 0.472459, 0.131851, 0.009317, 0.001365
118.000000, 49.152241, 49.152241, 50.826787, 0.454487, 0.131851, 0.009317, 0.001365
119.000000, 49.538429, 49.538429, 51.051478, 0.438248, 0.131851, 0.009317, 0.001365
120.000000, 50.000000, 50.000000, 51.293305, 0.424368, 0.131851, 0.009317, 0.001365
121.000000, 50.538429, 50.538429, 51.562188, 0.413380, 0.131851, 0.009317, 0.001365
122.000000, 51.152241, 51.152241, 51.867012, 0.405709, 0.131851, 0.009317, 0.001365
123.000000, 51.837061, 51.837061, 52.215279, 0.401650, 0.131851, 0.009317, 0.001365
124.000000, 52.585786, 52.585786, 52.612822, 0.401360, 0.131851, 0.009317, 0.001365
125.000000, 53.388860, 53.388860, 53.063584, 0.404851, 0.131851, 0.009317, 0.001365
126.000000, 54.234633, 54.234633, 53.569458, 0.411990, 0.131851, 0.009317, 0.001365
127.000000, 55.109819, 55.109819, 54.130225, 0.422503, 0.131851, 0.009317, 0.001365
