t, z, kf_a.x, kf_b.x
0.000000, 0.335591, 0.335591, 0.335591
1.000000, 1.287365, 0.906659, 0.907036
2.000000, -0.431177, 0.205538, 0.202587
3.000000, -1.639016, -0.930751, -0.942172
4.000000, 1.213902, -0.041551, -0.034192
5.000000, 0.318596, 0.084041, 0.099666
6.000000, -0.575243, -0.229563, -0.222841
7.000000, -0.395743, -0.356757, -0.353103
8.000000, -1.011649, -0.665627, -0.682555
9.000000, -0.785902, -0.799967, -0.818221
10.000000, -1.474653, -1.108653, -1.159511
11.000000, 1.314228, -0.515063, -0.370224
12.000000, 1.223595, -0.085905, 0.224091
13.000000, 0.322441, 0.015508, 0.354108
14.000000, 2.244829, 0.561819, 1.128214
15.000000, 1.911439, 0.921396, 1.591879
16.000000, 3.903600, 1.645671, 2.631635
17.000000, 3.867624, 2.229760, 3.385746
18.000000, 4.761468, 2.887956, 4.228784
19.000000, 5.615326, 3.597270, 5.118372
20.000000, 4.339691, 3.956420, 5.267931
21.000000, 5.924329, 4.535480, 5.860020
22.000000, 7.692326, 5.328137, 6.880672
23.000000, 6.981161, 5.887196, 7.342697
24.000000, 6.664858, 6.312354, 7.495586
25.000000, 7.346432, 6.780437, 7.772364
26.000000, 10.424521, 7.654625, 9.023566
27.000000, 8.602703, 8.142318, 9.280538
28.000000, 8.840463, 8.596425, 9.476369
29.000000, 8.893198, 8.993957, 9.569814
30.000000, 9.142251, 9.369430, 9.665148
31.000000, 9.315852, 9.714568, 9.746827
32.000000, 10.408009, 10.161001, 10.157800
33.000000, 11.753304, 10.733876, 10.925146
34.000000, 11.018451, 11.135666, 11.217953
35.000000, 14.170896, 11.911201, 12.524270
36.000000, 12.639352, 12.393596, 12.940686
37.000000, 14.141466, 13.015426, 13.723848
38.000000, 13.189697, 13.436084, 13.915843
39.000000, 16.057846, 14.181540, 15.013162
40.000000, 13.076693, 14.447292, 14.725806
41.000000, 15.026372, 14.924524, 15.111854
42.000000, 15.014859, 15.337848, 15.347941
43.000000, 16.727870, 15.920378, 16.089074
44.000000, 16.266751, 16.372216, 16.448500
45.000000, 17.086278, 16.871690, 16.959023
46.000000, 17.755626, 17.395586, 17.536903
47.000000, 16.743713, 17.720007, 17.559955
48.000000, 18.669691, 18.246796, 18.202761
49.000000, 20.872811, 18.998761, 19.444635
50.000000, 18.590354, 19.367726, 19.532004
51.000000, 21.085950, 20.010069, 20.411002
52.000000, 22.029803, 20.702226, 21.367344
53.000000, 22.064936, 21.320073, 22.045048
54.000000, 21.665669, 21.810665, 22.336633
55.000000, 22.661087, 22.366514, 22.827921
56.000000, 21.538544, 22.703655, 22.724883
57.000000, 22.390542, 23.097857, 22.870751
58.000000, 23.604150, 23.593576, 23.362588
59.000000, 25.281450, 24.245295, 24.300517
60.000000, 24.973078, 24.780003, 24.868253
61.000000, 25.541649, 25.320979, 25.444675
62.000000, 26.953205, 25.978871, 26.329503
63.000000, 26.920183, 26.554694, 26.933801
64.000000, 26.930932, 27.059377, 27.323332
65.000000, 27.340354, 27.550297, 27.688632
66.000000, 27.345243, 27.975148, 27.896322
67.000000, 27.368978, 28.341221, 27.993702
68.000000, 29.869005, 28.979705, 28.906056
69.000000, 30.250493, 29.592577, 29.704335
70.000000, 29.217500, 29.994504, 29.887049
71.000000, 31.529524, 30.641108, 30.782750
72.000000, 29.974430, 31.005625, 30.855907
73.000000, 30.163049, 31.337340, 30.900112
74.000000, 31.886535, 31.841654, 31.489893
75.000000, 34.021960, 32.561479, 32.667838
76.000000, 34.656096, 33.283610, 33.758341
77.000000, 31.587084, 33.518610, 33.423239
78.000000, 35.298327, 34.194001, 34.397929
79.000000, 35.688351, 34.842051, 35.234171
80.000000, 35.374871, 35.371199, 35.692847
81.000000, 36.882948, 36.029460, 36.503870
82.000000, 36.660740, 36.579577, 36.973256
83.000000, 37.389363, 37.153988, 37.510966
84.000000, 37.454528, 37.663445, 37.868831
85.000000, 38.679949, 38.265358, 38.505872
86.000000, 38.615752, 38.783306, 38.904394
87.000000, 38.234289, 39.181103, 38.999030
88.000000, 38.309169, 39.527501, 39.025374
89.000000, 40.684547, 40.130072, 39.840074
90.000000, 39.811564, 40.543255, 40.114766
91.000000, 40.838320, 41.030522, 40.635945
92.000000, 41.449001, 41.532270, 41.205535
93.000000, 42.780206, 42.142607, 42.068783
94.000000, 40.772981, 42.413756, 41.955575
95.000000, 42.945989, 42.920379, 42.570797
96.000000, 42.383345, 43.286257, 42.792003
97.000000, 41.534907, 43.483613, 42.595444
98.000000, 44.135164, 43.979638, 43.320896
99.000000, 44.812305, 44.500992, 44.094098
100.000000, 44.170275, 44.871853, 44.415272
101.000000, 45.963976, 45.423780, 45.246957
102.000000, 45.852708, 45.893298, 45.796540
103.000000, 45.555172, 46.261300, 46.045653
104.000000, 47.906614, 46.884242, 47.012367
105.000000, 48.844213, 47.558198, 48.040139
106.000000, 47.325197, 47.954990, 48.215393
107.000000, 48.575020, 48.458387, 48.706276
108.000000, 48.996560, 48.952078, 49.161696
109.000000, 48.770058, 49.351225, 49.358412
110.000000, 50.577266, 49.930612, 50.087838
111.000000, 51.052724, 50.502321, 50.764989
112.000000, 50.261842, 50.899499, 50.936667
113.000000, 52.233609, 51.498347, 51.702391
114.000000, 52.419871, 52.049645, 52.302006
115.000000, 51.412141, 52.398834, 52.332406
116.000000, 52.667357, 52.858290, 52.730119
117.000000, 54.822004, 53.539480, 53.755307
118.000000, 55.411152, 54.220483, 54.708856
119.000000, 54.388159, 54.687907, 55.007034
120.000000, 54.363401, 55.087644, 55.139445
121.000000, 56.819780, 55.751802, 56.046401
122.000000, 56.079740, 56.240767, 56.422309
123.000000, 56.360901, 56.700832, 56.736702
124.000000, 57.324659, 57.224142, 57.254803
125.000000, 56.199657, 57.531057, 57.186975
126.000000, 58.966673, 58.149934, 58.060705
127.000000, 58.029075, 58.571198, 58.354835
