t, z, kf_a.x, kf_b.x
0.000000, -0.977187, -0.977187, -0.977187
1.000000, -0.244836, -0.537773, -0.537484
2.000000, 1.265446, 0.575181, 0.579970
3.000000, 0.128765, 0.560358, 0.561326
4.000000, 0.163522, 0.509590, 0.504225
5.000000, 1.177826, 0.948615, 0.947085
6.000000, 0.797695, 1.036891, 1.028610
7.000000, 0.844318, 1.099600, 1.080180
8.000000, -0.545378, 0.618600, 0.533712
9.000000, 0.886184, 0.763546, 0.683699
10.000000, 0.077365, 0.610266, 0.487169
11.000000, 1.408938, 0.884290, 0.824303
12.000000, -2.097152, 0.129344, -0.194252
13.000000, 0.412510, 0.189639, -0.082445
14.000000, -0.126189, 0.106817, -0.166495
15.000000, -0.518942, -0.049323, -0.358578
16.000000, 0.062580, -0.048441, -0.284811
17.000000, -0.896056, -0.246325, -0.555095
18.000000, -0.568347, -0.344555, -0.637298
19.000000, 2.267764, 0.115795, 0.337129
20.000000, -0.461892, 0.005576, 0.132052
21.000000, 0.765887, 0.129208, 0.395448
22.000000, -0.647345, -0.006238, 0.084755
23.000000, 2.174534, 0.345723, 0.843394
24.000000, 2.005772, 0.626305, 1.374606
25.000000, 1.707208, 0.825351, 1.657568
26.000000, 4.036518, 1.358868, 2.681203
27.000000, 3.711746, 1.782412, 3.327823
28.000000, 5.539125, 2.428018, 4.430231
29.000000, 5.186134, 2.951730, 5.097404
30.000000, 6.714711, 3.636644, 6.081782
31.000000, 5.317489, 4.051037, 6.259417
32.000000, 9.823263, 5.047671, 7.919829
33.000000, 8.109830, 5.707789, 8.517931
34.000000, 9.873147, 6.539100, 9.502862
35.000000, 9.757131, 7.269251, 10.121075
36.000000, 10.556823, 8.029939, 10.775505
37.000000, 13.544488, 9.112269, 12.252406
38.000000, 13.018413, 10.017563, 13.111601
39.000000, 11.399921, 10.612128, 13.071374
40.000000, 14.017106, 11.483118, 13.854099
41.000000, 13.082341, 12.136876, 14.031568
42.000000, 13.761022, 12.802485, 14.313536
43.000000, 16.716626, 13.780123, 15.513811
44.000000, 14.960316, 14.422912, 15.745941
45.000000, 15.065976, 14.999635, 15.869692
46.000000, 15.297815, 15.531407, 15.968057
47.000000, 16.287588, 16.121497, 16.333710
48.000000, 15.128182, 16.482177, 16.146651
49.000000, 16.629260, 16.980789, 16.485845
50.000000, 16.823453, 17.435956, 16.784311
51.000000, 17.120131, 17.864505, 17.085265
