t, z, kf_a.x, kf_b.x
0.000000, 0.000000, 0.000000, 0.000000
1.000000, 0.000000, 0.000000, 0.000000
2.000000, 0.000000, 0.000000, 0.000000
3.000000, 0.000000, 0.000000, 0.000000
4.000000, 0.000000, 0.000000, 0.000000
5.000000, 0.000000, 0.000000, 0.000000
6.000000, 0.000000, 0.000000, 0.000000
7.000000, 0.000000, 0.000000, 0.000000
8.000000, 0.000000, 0.000000, 0.000000
9.000000, 0.000000, 0.000000, 0.000000
10.000000, 1.000000, 0.314911, 0.375746
11.000000, 1.000000, 0.547538, 0.657629
12.000000, 1.000000, 0.722128, 0.862370
13.000000, 1.000000, 0.854881, 1.003607
14.000000, 1.000000, 0.956870, 1.093611
15.000000, 1.000000, 1.035824, 1.143756
16.000000, 1.000000, 1.097243, 1.164359
17.000000, 1.000000, 1.145107, 1.164384
18.000000, 1.000000, 1.182341, 1.151233
19.000000, 1.000000, 1.211127, 1.130710
20.000000, 1.000000, 1.233112, 1.107117
21.000000, 1.000000, 1.249556, 1.083450
22.000000, 1.000000, 1.261433, 1.061631
23.000000, 1.000000, 1.269507, 1.042738
24.000000, 1.000000, 1.274382, 1.027229
25.000000, 1.000000, 1.276544, 1.015126
26.000000, 1.000000, 1.276390, 1.006170
27.000000, 1.000000, 1.274248, 0.999945
28.000000, 1.000000, 1.270393, 0.995965
29.000000, 1.000000, 1.265063, 0.993741
30.000000, 1.000000, 1.258463, 0.992818
31.000000, 1.000000, 1.250777, 0.992802
32.000000, 1.000000, 1.242171, 0.993367
33.000000, 1.000000, 1.232795, 0.994260
34.000000, 1.000000, 1.222788, 0.995291
35.000000, 1.000000, 1.212281, 0.996327
36.000000, 1.000000, 1.201393, 0.997284
37.000000, 1.000000, 1.190239, 0.998114
38.000000, 1.000000, 1.178923, 0.998796
39.000000, 1.000000, 1.167543, 0.999328
40.000000, 1.000000, 1.156188, 0.999723
41.000000, 1.000000, 1.144941, 0.999998
42.000000, 1.000000, 1.133876, 1.000174
43.000000, 1.000000, 1.123058, 1.000273
44.000000, 1.000000, 1.112546, 1.000314
45.000000, 1.000000, 1.102390, 1.000315
46.000000, 1.000000, 1.092631, 1.000291
47.000000, 1.000000, 1.083304, 1.000252
48.000000, 1.000000, 1.074435, 1.000207
49.000000, 1.000000, 1.066046, 1.000162
50.000000, 1.000000, 1.058149, 1.000120
51.000000, 1.000000, 1.050752, 1.000083
52.000000, 1.000000, 1.043858, 1.000053
53.000000, 1.000000, 1.037465, 1.000030
54.000000, 1.000000, 1.031566, 1.000012
55.000000, 1.000000, 1.026150, 1.000000
56.000000, 1.000000, 1.021206, 0.999993
57.000000, 1.000000, 1.016715, 0.999988
58.000000, 1.000000, 1.012662, 0.999986
59.000000, 1.000000, 1.009025, 0.999986
60.000000, 1.000000, 1.005783, 0.999987
61.000000, 1.000000, 1.002916, 0.999989
62.000000, 1.000000, 1.000399, 0.999991
63.000000, 1.000000, 0.998211, 0.999993
64.000000, 1.000000, 0.996328, 0.999995
65.000000, 1.000000, 0.994728, 0.999996
66.000000, 1.000000, 0.993388, 0.999998
67.000000, 1.000000, 0.992286, 0.999999
68.000000, 1.000000, 0.991402, 0.999999
69.000000, 1.000000, 0.990714, 1.000000
70.000000, 1.000000, 0.990204, 1.000000
71.000000, 1.000000, 0.989852, 1.000001
72.000000, 1.000000, 0.989641, 1.000001
73.000000, 1.000000, 0.989554, 1.000001
74.000000, 1.000000, 0.989576, 1.000001
75.000000, 1.000000, 0.989692, 1.000000
76.000000, 1.000000, 0.989889, 1.000000
77.000000, 1.000000, 0.990154, 1.000000
78.000000, 1.000000, 0.990476, 1.000000
79.000000, 1.000000, 0.990844, 1.000000
80.000000, 1.000000, 0.991249, 1.000000
81.000000, 1.000000, 0.991682, 1.000000
82.000000, 1.000000, 0.992136, 1.000000
83.000000, 1.000000, 0.992603, 1.000000
84.000000, 1.000000, 0.993077, 1.000000
85.000000, 1.000000, 0.993553, 1.000000
86.000000, 1.000000, 0.994027, 1.000000
87.000000, 1.000000, 0.994494, 1.000000
88.000000, 1.000000, 0.994950, 1.000000
89.000000, 1.000000, 0.995393, 1.000000
90.000000, 1.000000, 0.995821, 1.000000
91.000000, 1.000000, 0.996232, 1.000000
92.000000, 1.000000, 0.996623, 1.000000
93.000000, 1.000000, 0.996994, 1.000000
94.000000, 1.000000, 0.997344, 1.000000
95.000000, 1.000000, 0.997673, 1.000000
96.000000, 1.000000, 0.997980, 1.000000
97.000000, 1.000000, 0.998266, 1.000000
98.000000, 1.000000, 0.998530, 1.000000
99.000000, 1.000000, 0.998773, 1.000000
100.000000, 1.000000, 0.998995, 1.000000
101.000000, 1.000000, 0.999197, 1.000000
102.000000, 1.000000, 0.999381, 1.000000
103.000000, 1.000000, 0.999545, 1.000000
104.000000, 1.000000, 0.999693, 1.000000
105.000000, 1.000000, 0.999823, 1.000000
106.000000, 1.000000, 0.999938, 1.000000
107.000000, 1.000000, 1.000039, 1.000000
108.000000, 1.000000, 1.000126, 1.000000
109.000000, 1.000000, 1.000200, 1.000000
110.000000, 1.000000, 1.000263, 1.000000
111.000000, 1.000000, 1.000315, 1.000000
112.000000, 1.000000, 1.000357, 1.000000
113.000000, 1.000000, 1.000390, 1.000000
114.000000, 1.000000, 1.000415, 1.000000
115.000000, 1.000000, 1.000433, 1.000000
116.000000, 1.000000, 1.000445, 1.000000
117.000000, 1.000000, 1.000451, 1.000000
118.000000, 1.000000, 1.000452, 1.000000
119.000000, 1.000000, 1.000449, 1.000000
120.000000, 1.000000, 1.000441, 1.000000
121.000000, 1.000000, 1.000431, 1.000000
122.000000, 1.000000, 1.000418, 1.000000
123.000000, 1.000000, 1.000403, 1.000000
124.000000, 1.000000, 1.000386, 1.000000
125.000000, 1.000000, 1.000368, 1.000000
126.000000, 1.000000, 1.000349, 1.000000
127.000000, 1.000000, 1.000329, 1.000000
