t, z, kf_a.x, kf_b.x
0.000000, -0.000000, -0.000000, -0.000000
1.000000, -0.000000, 0.000000, 0.000000
2.000000, -0.000000, 0.000000, 0.000000
3.000000, -0.000000, 0.000000, 0.000000
4.000000, -0.000000, 0.000000, 0.000000
5.000000, -0.000000, 0.000000, 0.000000
6.000000, -0.000000, 0.000000, 0.000000
7.000000, -0.000000, 0.000000, 0.000000
8.000000, -0.000000, 0.000000, 0.000000
9.000000, -0.000000, 0.000000, 0.000000
10.000000, -0.000000, 0.000000, 0.000000
11.000000, -0.000000, 0.000000, 0.000000
12.000000, -0.000000, 0.000000, 0.000000
13.000000, -0.000000, 0.000000, 0.000000
14.000000, -0.000000, 0.000000, 0.000000
15.000000, -0.000000, 0.000000, 0.000000
16.000000, 0.000000, 0.000000, 0.000000
17.000000, 0.109819, 0.022851, 0.039556
18.000000, 0.234633, 0.066655, 0.115448
19.000000, 0.388860, 0.132774, 0.229099
20.000000, 0.585786, 0.224758, 0.385527
21.000000, 0.837061, 0.347522, 0.592131
22.000000, 1.152241, 0.506707, 0.857423
23.000000, 1.538429, 0.708163, 1.189822
24.000000, 2.000000, 0.957522, 1.596608
25.000000, 2.538429, 1.259842, 2.083053
26.000000, 3.152241, 1.619314, 2.651777
27.000000, 3.837061, 2.039017, 3.302329
28.000000, 4.585786, 2.520725, 4.031001
29.000000, 5.388860, 3.064756, 4.830840
30.000000, 6.234633, 3.669876, 5.691856
31.000000, 7.109819, 4.333246, 6.601396
32.000000, 8.000000, 5.050428, 7.544641
33.000000, 8.890181, 5.815450, 8.505211
34.000000, 9.765367, 6.620914, 9.465841
35.000000, 10.611140, 7.458178, 10.409084
36.000000, 11.414214, 8.317584, 11.318031
37.000000, 12.162939, 9.188735, 12.176992
38.000000, 12.847759, 10.060813, 12.972139
39.000000, 13.461571, 10.922937, 13.692054
40.000000, 14.000000, 11.764523, 14.328196
41.000000, 14.461571, 12.575665, 14.875237
42.000000, 14.847759, 13.347486, 15.331277
43.000000, 15.162939, 14.072472, 15.697926
44.000000, 15.414214, 14.744759, 15.980242
45.000000, 15.611140, 15.360358, 16.186535
46.000000, 15.765367, 15.917319, 16.328053
47.000000, 15.890181, 16.415808, 16.418542
48.000000, 16.000000, 16.858115, 16.473721
49.000000, 16.109819, 17.248565, 16.510673
50.000000, 16.234633, 17.593365, 16.547187
51.000000, 16.388860, 17.900360, 16.601073
52.000000, 16.585786, 18.178741, 16.689477
53.000000, 16.837061, 18.438689, 16.828219
54.000000, 17.152241, 18.690981, 17.031186
55.000000, 17.538429, 18.946582, 17.309797
56.000000, 18.000000, 19.216220, 17.672564
57.000000, 18.538429, 19.509975, 18.124764
58.000000, 19.152241, 19.836896, 18.668238
59.000000, 19.837061, 20.204653, 19.301317
60.000000, 20.585786, 20.619246, 20.018887
61.000000, 21.388860, 21.084782, 20.812591
62.000000, 22.234633, 21.603318, 21.671142
63.000000, 23.109819, 22.174791, 22.580760
64.000000, 24.000000, 22.797024, 23.525706
65.000000, 24.890181, 23.465813, 24.488880
66.000000, 25.765367, 24.175101, 25.452482
67.000000, 26.611140, 24.917208, 26.398697
68.000000, 27.414214, 25.683137, 27.310376
69.000000, 28.162939, 26.462924, 28.171699
70.000000, 28.847759, 27.246022, 28.968780
71.000000, 29.461571, 28.021713, 29.690203
72.000000, 30.000000, 28.779527, 30.327457
73.000000, 30.461571, 29.509641, 30.875269
74.000000, 30.847759, 30.203268, 31.331800
75.000000, 31.162939, 30.852993, 31.698722
76.000000, 31.414214, 31.453063, 31.981148
77.000000, 31.611140, 31.999611, 32.187439
78.000000, 31.765367, 32.490808, 32.328884
79.000000, 31.890181, 32.926936, 32.419260
80.000000, 32.000000, 33.310379, 32.474309
81.000000, 32.109819, 33.645535, 32.511131
82.000000, 32.234633, 33.938649, 32.547524
83.000000, 32.388860, 34.197575, 32.601307
84.000000, 32.585786, 34.431475, 32.689625
85.000000, 32.837061, 34.650470, 32.828301
86.000000, 33.152241, 34.865252, 33.031219
87.000000, 33.538429, 35.086675, 33.309796
88.000000, 34.000000, 35.325336, 33.672541
89.000000, 34.538429, 35.591173, 34.124730
90.000000, 35.152241, 35.893083, 34.668198
91.000000, 35.837061, 36.238578, 35.301277
92.000000, 36.585786, 36.633497, 36.018851
93.000000, 37.388860, 37.081788, 36.812560
94.000000, 38.234633, 37.585349, 37.671116
95.000000, 39.109819, 38.143959, 38.580740
96.000000, 40.000000, 38.755285, 39.525691
97.000000, 40.890181, 39.414977, 40.488869
98.000000, 41.765367, 40.116827, 41.452475
99.000000, 42.611140, 40.853014, 42.398693
100.000000, 43.414214, 41.614401, 43.310375
101.000000, 44.162939, 42.390889, 44.171699
102.000000, 44.847759, 43.171801, 44.968781
103.000000, 45.461571, 43.946296, 45.690204
104.000000, 46.000000, 44.703784, 46.327459
105.000000, 46.461571, 45.434333, 46.875270
106.000000, 46.847759, 46.129048, 47.331802
107.000000, 47.162939, 46.780418, 47.698723
108.000000, 47.414214, 47.382599, 47.981149
109.000000, 47.611140, 47.931642, 48.187440
110.000000, 47.765367, 48.425641, 48.328884
111.000000, 47.890181, 48.864811, 48.419260
112.000000, 48.000000, 49.251474, 48.474309
113.000000, 48.109819, 49.589975, 48.511131
114.000000, 48.234633, 49.886509, 48.547525
115.000000, 48.388860, 50.148889, 48.601307
116.000000, 48.585786, 50.386240, 48.689625
117.000000, 48.837061, 50.608651, 48.828301
118.000000, 49.152241, 50.826787, 49.031219
119.000000, 49.538429, 51.051478, 49.309796
120.000000, 50.000000, 51.293304, 49.672541
121.000000, 50.538429, 51.562188, 50.124730
122.000000, 51.152241, 51.867012, 50.668198
123.000000, 51.837061, 52.215279, 51.301277
124.000000, 52.585786, 52.612822, 52.018851
125.000000, 53.388860, 53.063584, 52.812560
126.000000, 54.234633, 53.569458, 53.671116
127.000000, 55.109819, 54.130225, 54.580740
